Sample	Mytilus	Homo sapiens	Perciformes	Balanomorpha	Picozoa	Poecilosclerida	Actinopteri	Flustridae	Stichopodidae	Clathrinida	Crassadoma gigantea	Demospongiae	Eukaryota	Sciaridae	Mytilus californianus	Anthozoa	Tellinidae	Candidatus Karelsulcia__f	Sapromyza palpella	Thysanoessa	Rhynchozoon sp_ MHD_2004	Anaspidacea	Aplysinidae	Calanoida	Metacarcinus magister	Dendroceratida	Chironomidae	Saccoglossus	Axinellida	Bitectiporidae	Cochlodesma	Unknown	Carybdeida	Aphragmophora	Chaetopteridae__o	Tethyidae	Siphonophorae	Cerebratulus	Echinoidea	Verongiida	Carinoma mutabilis	Euphausia pacifica	Candidatus Pseudothioglobus__f	Magelonidae	Homo	Acartia longiremis	Cephalothrix	Centropagidae	Spongillida	Oweniidae	Actinomycetaceae	Amphipoda	Apedinella radians	Sagittidae	Chordata	Macoma	Homoscleromorpha	Taenianotus	Neogastropoda	Pseudocalanus elongatus	Pinnixa	Molpadida	Siliqua alta	Ophiopholis mirabilis	Thyasiridae	Amphimedon compressa	Monostilifera	Candidae	Velatida	Negombata	Sinonovacula	Watersiporidae	Decapoda	Cheilostomatida	Margarites	Citharichthys xanthostigma	Elusimicrobiota	Dermasterias imbricata	Dendrochirotida	Luidia foliolata	Carinoma hamanako	Micrura wilsoni	Chlamys hastata	Spionida	Lepraliellidae	Galeommatida	Tubulanus sp_ 3 TCH_2015	Patinopecten caurinus	Mytilidae	Tubulaniformes	Celleporina souleae	Veneridae	Nipponnemertes arenaria	Alvania	Lampropidae	Lineus sp_ 1 TCH_2015	Harrimaniidae__o	Macoma nasuta	Nassariidae	Candidatus Woesebacteria	Olindiasidae	Trochida	Diplostraca	Parasagitta elegans	Pilidiophora	Osmeriformes	Enteroctopus	Tubulanus	Farrellidae	Mopalia	Hominidae	Crella	Spatangus raschi	Gurjanovella littoralis	Cerianthidae	Dictyodendrillidae	Ophiuroidea	Pachycheles	Negombata magnifica	Bugulidae	Heptacarpus sp_ A KMH_2021a	Carinina sp_ chocolate	Bacteroidales	Synchaetidae	Rhodobacterales	Artiodactyla	Otariidae	Forcipulatida	Glebocarcinus oregonensis	Oshurkovia littoralis	Henricia	Cellariidae	Asteroidea	Spatangoida	Suberitida	Megaptera novaeangliae	Cyclopecten sp_ DJC_2016	Ophiura sarsii	Tresus	Columbellidae	Gemmatimonadales	Synergistales	candidate division WOR_3	Semelidae	Maculaura alaskensis	Bacteroidia	Sphaeropleales	Nitrososphaerota	Breviturma doederleini	Loxosomella	Cardiida	Crellidae	Crangon sp_ UF_53625	Betta midas	Candidatus Chazhemtobacteraceae	Chuniphyes multidentata	Podonidae	Evadne	Enhydra lutris	Phocoena phocoena	Sclerodactylidae	Moerella	Callyspongia	Lepadidae__o	Chthamalus	Cucumaria	Halosaurus carinicauda	Eubacteriales	Bugulina turbinata	Terebratalia transversa	Tubulanus sexlineatus	Asteriidae	Cephalopoda	Psolidium	Mytilus coruscus	Uroconger syringinus	Microporella cf_ ciliata AW214	Venerida	Gymnolaemata	Celleporella hyalina	Adapedonta	Amphibalanus	Parasmittina jeffreysi	Pinnotheridae	Rajidae	Maculaura magna	Cephalothrix major	Pagurus	Cliona patera	Ischyroceridae	Phoca	Scrupocellaria varians	Suberites domuncula	Evelineus	Riserius sp_ no eyes	Lineus flavescens	Aoroides columbiae	Phoronidae__o	Gastropoda	Smittinidae	Paranemertes californica	Latrunculiidae	Cerebratulus albifrons	Ostreococcus sp_ _lucimarinus_	Chromochloridaceae	Farrella	Mopalia vespertina	Amphiuridae	Pachycheles haigae	Chrysaora	Carcinonemertes	Nuttallia	Mya	Solanaceae	Prosorhochmidae	Bacillota	Cottus	Eurytemora	Oerstedia sp_ Simushir 22	Euphilomedes japonica	Cephalothrix sp_ 4 TCH_2015	Merluccius	Lepas	Psammobiidae	Macoma balthica	Pandalus	Aves	Terebratulina unguicula	Comatulida	Candidatus Pseudothioglobus__f__o	Neotrypaea	Ctenostomatida	Escharinidae	Camelus dromedarius	Aeromonadales	Cecidomyiidae	Aphididae	Maculaura	Beringraja inornata	Callianassidae	Doliolum nationalis	Limnophyes sp_ YF_2022	Ophiopholis sp_ EAC01	Acanthella acuta	Pseudocnus	Candidatus Beckwithbacteria	Gallus	Antedonidae	Microctenopoma nanum	Holothuroidea	Mollusca	Bacteria	Colloniidae	Gymnothorax zonipectis	Actiniaria	Citharichthys	Parasagitta	Octopodidae	Aglantha digitale	Cricotopus	Chlorophyceae	Megabalanus	Mycoplasmatales	Synurales	Metacarcinus gracilis	Mammalia	Euphausia	Euphausiidae	Micrura purpurea	Halosaurus ovenii	Suidae	Mallomonadaceae	Lamna	Lamna ditropis	Agelasida	
MP_E449_3B_PCR2	161822	87	0	10859	536	430	13361	0	0	0	32	2	8967	0	0	8	0	1	0	8	41	19	0	142	5	117	0	1688	79	0	0	230	0	10	0	0	0	0	287	0	1073	47	0	0	0	1457	211	19	0	168	0	4	2	34	372	7	0	0	0	10	0	43	0	0	0	0	10	0	0	0	408	0	3	33	0	0	2	0	0	0	200	0	57	0	0	0	0	0	21	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	2320	0	0	0	0	0	0	0	0	0	0	48	0	5	13	0	17	0	0	0	0	0	0	61	0	0	34	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	785	0	0	11	0	0	36	0	0	0	0	0	32	47	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16110	1	1	10	25	15	10	6	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E449_3B_PCR3	169647	0	0	12249	584	555	16877	0	0	0	0	1	15187	0	0	1	0	12	1	18	71	14	0	106	28	128	0	2761	116	0	0	235	0	71	0	0	1	4	776	0	1417	38	0	0	0	1888	215	35	2	190	0	12	0	43	0	12	0	0	0	15	0	38	0	0	0	0	12	4	0	0	366	0	0	99	0	0	0	0	28	0	113	0	0	0	0	0	0	0	126	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	2875	0	0	0	0	0	0	0	0	0	0	20	6	0	0	0	2	0	0	0	840	0	0	246	0	0	0	0	0	2	0	0	0	12	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	173	0	718	0	9	5	0	0	0	0	0	0	0	0	0	12	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18123	0	0	0	0	0	0	0	0	0	0	34	26	16	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E475_PCR2	1610	0	0	0	9	0	0	0	0	0	0	0	1596	0	0	0	0	0	0	244	0	0	0	42	0	0	0	0	1	0	0	39	0	0	0	0	0	108	207334	0	316	0	0	0	0	98	0	2	0	35	0	0	0	0	5	759	0	0	0	0	0	1	88	0	0	0	0	0	0	0	90	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	13	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E475_PCR3	1812	0	0	0	15	0	14	0	0	0	0	0	1725	0	0	0	0	0	0	229	0	0	0	21	0	0	0	0	2	0	0	34	0	0	0	0	0	124	229746	0	336	0	0	0	0	128	0	9	0	50	0	0	0	0	2	945	0	0	0	0	0	0	88	0	0	0	0	0	0	0	88	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	1122	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	5	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	19	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E486_PCR2	527	0	0	0	1418	2119	8145	0	0	0	0	7	122822	0	0	11	0	6565	0	718	0	0	0	980	0	144	0	0	295	0	0	766	1	1234	5	0	4	47	20	0	0	5989	19	2104	0	0	1050	0	0	0	0	0	0	674	7004	0	0	0	0	98	997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1625	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	248	0	131	33	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E486_PCR3	290	0	11112	0	1656	2709	20495	0	0	0	0	4	60363	0	0	82	83	7890	0	998	0	0	0	1223	0	79	67	0	439	0	0	882	2	1711	20	0	0	0	26	0	0	7069	23	947	0	0	488	0	1	1	7	0	0	1167	21440	0	0	0	0	106	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	10758	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	249	0	0	94	0	0	195	35	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E492_1B_PCR2	0	0	0	0	2459	1336	0	0	0	0	0	2	0	0	0	204	342	3157	0	594	0	0	0	0	0	24	0	0	390	0	0	1047	0	2919	0	0	6	0	5	0	0	20515	11	0	0	76	0	0	4	0	0	0	0	990	8154	0	0	0	0	0	40	0	0	0	71	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	30506	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	11061	1280	65	79	41	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E492_1B_PCR3	0	0	16711	0	1298	782	3221	0	0	0	0	9	183	0	0	287	245	3023	0	601	0	0	0	0	0	15	0	0	262	0	0	698	1	1357	0	0	7	0	9	0	0	13448	2	0	0	43	0	0	0	0	5	0	0	706	11923	0	0	0	0	1	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3185	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3912	0	0	37	0	0	62	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E573_1B_PCR2	0	0	2792	0	1797	5743	17909	0	0	0	0	6	115988	0	0	72	0	4627	0	3063	0	0	0	0	0	411	0	0	537	0	0	690	3	118	3	0	11	77	871	0	0	2374	14	0	7	34863	0	35	2	2	1	0	0	151	6130	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	10	0	0	0	0	125	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6737	0	0	0	0	0	0	0	0	150	174	267	225	54	6	17	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E573_1B_PCR3	0	401	0	0	1033	2608	16484	0	0	0	0	8	78517	0	0	64	0	2477	0	819	0	0	0	0	0	136	0	0	188	0	0	240	0	319	0	0	3	0	12	0	0	0	6	0	1	21594	0	16	0	3	0	0	0	112	5763	4	0	0	0	0	0	0	18	0	161	4	37	0	0	38	0	0	0	86	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	30	0	0	237	0	0	0	0	0	16	2802	0	0	0	6	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	872	0	0	0	0	0	0	0	0	295	330	0	0	0	0	0	429	534	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E573_2B_PCR2	0	523	0	0	1809	4727	64254	0	0	0	0	127	60977	0	0	41	0	4126	0	1138	0	0	0	0	0	286	0	0	335	0	0	927	0	599	4888	0	7	84	2520	0	0	0	7	3663	3	65868	2037	151	0	1	0	0	5	211	6158	0	0	0	0	7	145	0	4	0	0	0	10	0	0	91	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	4	0	0	0	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	24029	0	0	0	0	0	0	0	0	0	12683	0	0	0	0	0	189	0	0	0	248	96	52	19	9	1296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E573_2B_PCR3	0	340	1873	0	1735	5150	55157	0	0	0	0	226	47608	0	0	25	61	3534	0	386	0	0	0	0	0	236	0	0	415	0	0	679	0	613	5015	0	0	107	13	0	0	287	11	2986	1	65913	0	115	0	0	0	33	0	60	20198	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	56	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	725	0	0	0	0	0	0	18	0	0	0	0	0	0	1427	0	0	0	20	0	3	0	0	783	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6281	0	0	0	0	0	0	0	3	38	19375	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	160	3821	21	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E573_3B_PCR2	0	0	0	0	2477	4590	38610	0	0	0	0	3	19086	0	0	248	0	3578	0	1339	0	0	0	0	0	340	0	0	422	0	0	975	0	544	23	157	2	31	44	0	0	485	16	0	0	62791	829	5	0	0	1	0	0	159	8692	0	0	0	0	17	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	2642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	3	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7797	0	0	0	0	0	0	0	0	0	0	0	565	0	0	0	0	0	0	0	0	6	0	0	0	2179	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	7324	0	0	0	0	0	0	0	0	22	0	0	0	0	13	0	109	0	0	0	0	0	0	0	0	0	0	0	0	3	2	282	39	22	1719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E573_3B_PCR3	0	0	0	0	2515	4666	39568	0	0	0	0	8	22631	0	0	205	0	3962	0	1972	0	0	0	0	0	376	0	0	345	0	0	1073	0	905	1	0	2	0	39	0	0	633	11	0	0	62025	0	1	3	4	0	0	0	64	16316	0	0	0	0	20	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8510	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	101	0	0	0	0	0	0	1	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15429	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E598_1B_PCR2	0	0	0	0	1628	3510	51770	0	0	0	0	0	1866	0	0	0	0	2684	0	666	0	0	0	0	0	486	0	0	749	0	0	964	2	134	0	0	24	0	66	0	0	6092	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E598_1B_PCR3	0	0	0	0	1406	2226	34398	0	0	0	0	0	0	0	0	0	0	2903	0	395	0	0	0	0	0	437	0	0	660	0	0	1281	10	384	0	0	4	0	54	0	0	8432	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E598_2B_PCR2	0	1028	0	11702	2152	4023	17713	0	0	0	0	13	37386	0	0	7	0	3236	0	5913	0	0	0	0	0	802	0	0	877	0	0	2277	16	770	0	0	1	0	77	0	0	16625	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12407	0	59	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	722	31	7	1374	0	0	0	0	0	0	0	0	0	0	
MP_E598_2B_PCR3	0	114	0	12054	2006	3608	4101	0	0	0	0	4	0	0	0	0	0	3844	0	5338	0	0	0	0	0	630	0	0	743	0	0	1834	20	90	0	0	1	0	77	0	0	6765	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6758	36	19	0	0	0	0	0	0	0	
MP_E598_3B_PCR2	0	0	0	632	2247	5100	18445	0	0	0	0	367	7587	0	0	0	79	3921	0	602	0	0	0	0	0	1103	0	0	1255	0	0	2216	13	234	0	0	3	0	84	0	0	8560	9	0	0	4	0	0	0	0	0	0	0	1702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8048	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617	122	3200	7	0	0	0	
MP_E598_3B_PCR3	326	0	0	124	1747	3403	0	0	0	0	0	0	15171	0	0	0	0	2989	0	579	0	0	0	0	0	689	0	0	953	0	0	2511	13	84	0	0	0	0	137	0	0	8164	3	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	27	0	0	0	0	0	0	850	0	0	0	0	0	0	0	2027	0	3649	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7193	63	5	
