,Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Lat_dec,Lon_dec,local_timezone,local_date_combined,utc_date_combined,btl_bottle,btl_oxy_concM_ch1 (ml/l),btl_oxy_percentsat_ch1 (percent),btl_oxy_conc_ch1 (micromole/kg),btl_salinity_ch1 (PSU),btl_salinity_ch2 (PSU),btl_sigma_t_ch1,btl_sigma_t_ch2,btl_chlor_fluorescence (ugrams/l),btl_temperature_ch1 (degree_C),btl_temperature_ch2 (degree_C),btl_turbidity (NTU),btl_pressure (decibar),btl_latitude (degrees_north),btl_longitude (degrees_east),btl_time (UTC),btl_profile_id,nutr_EXPOCODE,nutr_STNNBR,nutr_SECT_ID,nutr_BTLNBR,nutr_DATE,nutr_TIME,nutr_LATITUDE,nutr_LONGITUDE,nutr_DEPTH.METERS,nutr_CTDPRS.DBAR,nutr_CTDTMP.ITS-90,nutr_CTDSAL.PSS-78,nutr_CTDOXY.UMOL/KG,nutr_PAR,nutr_SILCAT.UMOL/L,nutr_SILCAT_FLAG,nutr_NITRAT.UMOL/L,nutr_NITRAT_FLAG,nutr_NITRIT.UMOL/L,nutr_NITRIT_FLAG,nutr_PHSPHT.UMOL/L,nutr_PHSPHT_FLAG,nutr_NH4.UMOL/L,nutr_NH4_FLAG
10,E1755.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-27,,8:16,,,30,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M22,10.5,57°55.79',169°19.96',1000,Shannon Brown,,,,,,,,,,57.929833333333335,-169.33266666666665,Etc/GMT+11,,2023-04-27T08:16:00,6,8.3386,103.253,363.048,32.1309,32.1901,25.7685,25.8162,0.764,0.4562,0.4563,0.5745,10.54,57.929833333333335,-169.33266666666665,2023-04-27T08:16:00Z,30,DY2306,30,70m22/M4W,6,20240426,816,57.93,-169.33,67,10.54,0.4562,32.1309,363.05,0.11,40.0,2,20.0,2,0.11,2,1.613,2,0.28,2
11,E1774.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-28,,6:15,,,41,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M12,10.5,57°25.86',166°48.78',1000,Shannon Brown,"Accidently have a repeated sample ID, but from two different sites",,,,,,,,,57.431,-166.813,Etc/GMT+11,,2023-04-28T06:15:00,6,8.3435,105.007,363.273,32.1258,32.1291,25.7295,25.732,0.8048,1.086,1.0896,0.4165,10.545,57.431,-166.813,2023-04-28T06:15:00Z,41,DY2306,41,70m12,6,20240427,615,57.43,-166.81,70,10.54,1.086,32.1258,363.27,2.21,38.2,2,16.9,2,0.12,2,1.656,2,0.22,2
12,E1809.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-05-06,,7:28,,,82,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW5,10.5,54°26.95',167°23.07',1000,Shannon Brown,,,,,,,,,,54.44916666666666,-167.3845,Etc/GMT+11,,2023-05-06T07:28:00,10,8.7563,120.984,381.153,32.8152,32.8163,25.9815,25.9824,11.0946,4.6505,4.65,0.7838,10.527,54.44916666666666,-167.3845,2023-05-06T07:28:00Z,82,DY2306,82,AW5,10,20240505,728,54.45,-167.38,650,10.53,4.6505,32.8152,381.15,-999.0,18.5,2,10.3,2,0.26,2,0.863,2,0.23,2
13,E1780.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-28,,19:37,,,49,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M8,10.6,57°15.70',165°44.93',1000,Shannon Brown,Stored in fridge for 2-6 hours before filtering,,,,,,,,,57.26166666666666,-165.74883333333332,Etc/GMT+11,,2023-04-28T19:37:00,6,8.2134,103.712,357.628,32.0686,32.0721,25.6749,25.6775,0.369,1.2301,1.2326,0.4977,10.6,57.26166666666666,-165.74883333333332,2023-04-28T19:37:00Z,49,DY2306,49,70m8,6,20240427,1937,57.26,-165.75,70,10.6,1.2301,32.0686,357.63,221.85,36.8,2,16.8,2,0.13,2,1.599,2,0.3,2
14,E1761.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-27,,19:40,,,34,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M19,10.6,57°39.24',169°00.63',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,,57.654,-169.0105,Etc/GMT+11,,2023-04-27T19:40:00,6,8.1682,102.617,355.588,32.3044,32.2709,25.88,25.8531,0.6167,0.9684,0.9686,0.567,10.578,57.654,-169.0105,2023-04-27T19:40:00Z,34,DY2306,34,70m19/M4S,6,20240426,1940,57.65,-169.01,69,10.58,0.9684,32.3044,355.59,59.22,41.8,2,19.6,2,0.12,2,1.776,2,0.19,2
15,E1734.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-25,,13:28,,,19,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBE3,10.6,54°43.32',164°46.47',1000,Shannon Brown,,,,,,,,,,54.722,-164.7745,America/Anchorage,,2023-04-25T13:28:00,5,8.9893,120.868,391.623,31.6393,31.6417,25.1274,25.1294,2.6406,3.8543,3.8544,0.4429,10.628,54.722,-164.7745,2023-04-25T13:28:00Z,19,DY2306,19,UBE3,5,20240424,1328,54.72,-164.77,48,10.63,3.8543,31.6393,391.62,0.06,21.5,2,14.4,2,0.19,2,1.142,2,0.3,2
16,E1806.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-05-06,,2:29,,,80,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW3,10.7,54°10.28',167°09.38',1000,Shannon Brown,,,,,,,,,,54.17133333333334,-167.15633333333332,Etc/GMT+11,,2023-05-06T02:29:00,10,7.8257,108.294,340.712,32.5802,32.5845,25.7811,25.7844,4.7609,4.7806,4.7816,0.433,10.685,54.17133333333334,-167.15633333333332,2023-05-06T02:29:00Z,80,DY2306,80,AW3,10,20240505,229,54.17,-167.16,1599,10.68,4.7806,32.5802,340.71,-999.0,25.2,2,12.2,2,0.2,2,1.056,2,0.33,2
17,E1812.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-05-06,,13:14,,,84,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UT5,10.7,54°33.33',166°35.80',1000,Shannon Brown,,,,,,,,,,54.5555,-166.59666666666666,Etc/GMT+11,,2023-05-06T13:14:00,10,8.3719,115.262,364.514,32.4708,32.4749,25.7137,25.7169,6.6068,4.5988,4.5995,0.5919,10.667,54.5555,-166.59666666666666,2023-05-06T13:14:00Z,84,DY2306,84,UT5,10,20240505,1314,54.56,-166.6,431,10.67,4.5988,32.4708,364.51,-999.0,16.1,2,9.5,2,0.18,2,0.894,2,0.61,2
18,E1737.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-27,,2:44,,,27,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M26,10.7,58°16.76',170°06.56',1000,Shannon Brown,,,,,,,,,,58.279333333333334,-170.10933333333332,Etc/GMT+11,,2023-04-27T02:44:00,6,8.5652,103.89,372.949,31.9636,31.966,25.6676,25.6696,0.5213,-0.287,-0.2879,0.3781,10.743,58.279333333333334,-170.10933333333332,2023-04-27T02:44:00Z,27,DY2306,27,70m26,6,20240426,244,58.28,-170.11,72,10.74,-0.287,31.9636,372.95,141.2,37.2,2,18.9,2,0.1,2,1.706,2,0.02,2
19,E1815.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-05-06,,16:37,,,85,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UT3,10.8,54°17.90',166°22.04',1000,Shannon Brown,,,,,,,,,,54.29833333333333,-166.36733333333333,Etc/GMT+11,,2023-05-06T16:37:00,9,8.0686,111.047,351.307,32.4765,32.4806,25.72,25.7232,4.9294,4.5827,4.5826,0.4469,10.753,54.29833333333333,-166.3673333333333,2023-05-06T16:37:00Z,85,DY2306,85,UT3,9,20240505,1637,54.3,-166.37,980,10.75,4.5827,32.4765,351.31,-999.0,17.7,2,10.5,2,0.2,2,1.024,2,0.95,2
20,E1746.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-26,,17:08,,,23,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 2,10.8,58°19.43',169°42.17',1000,Shannon Brown,,,,,,,,,,58.32383333333333,-169.70283333333333,Etc/GMT+11,,2023-04-26T17:08:00,3,8.3529,102.332,363.667,32.1192,32.1219,25.7787,25.7809,0.3247,0.0508,0.0509,0.4678,10.768,58.32383333333333,-169.70283333333333,2023-04-26T17:08:00Z,23,DY2306,23,,3,20240425,1708,58.32,-169.7,70,10.77,0.0508,32.1192,363.67,149.58,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
21,E1743.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-26,,22:56,,,24,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 1,10.8,58°19.67',169°51.10',1000,Shannon Brown,,,,,,,,,,58.32783333333333,-169.85166666666666,Etc/GMT+11,,2023-04-26T22:56:00,6,8.3283,102.236,362.581,32.1623,32.0981,25.8105,25.7586,0.313,0.1165,0.1169,0.5361,10.804,58.32783333333333,-169.85166666666666,2023-04-26T22:56:00Z,24,DY2306,24,,6,20240425,2256,58.33,-169.85,71,10.8,0.1165,32.1623,362.58,96.75,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
22,E1818.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-05-06,,20:01,,,87,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UT1,10.8,54°10.09',166°14.05',1000,Shannon Brown,,,,,,,,,,54.168166666666664,-166.23416666666665,America/Anchorage,,2023-05-06T20:01:00,8,7.5887,103.847,330.445,32.3303,32.3344,25.6243,25.6276,2.5185,4.3861,4.3859,0.2994,10.767,54.168166666666664,-166.23416666666665,2023-05-06T20:01:00Z,87,DY2306,87,UT1,8,20240505,2001,54.17,-166.23,124,10.77,4.3861,32.3303,330.44,-999.0,27.0,2,12.7,2,0.2,2,1.402,2,1.15,2
23,E1800.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-05-02,,2:23,,,68,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,KUM2A,10.9,58°15.67',163°39.66',1000,Shannon Brown,,,,,,,,,,58.26116666666667,-163.661,Etc/GMT+11,,2023-05-02T02:23:00,3,9.6344,113.581,420.008,30.4148,30.4164,24.4369,24.4381,0.8141,-0.9452,-0.9405,0.3088,10.858,58.26116666666667,-163.49433333333334,2023-05-02T02:23:00Z,68,DY2306,68,KUM2A,3,20240501,223,58.26,-163.49,40,10.86,-0.9452,30.4148,420.01,76.6,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
24,E1740.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-27,,0:05,,,25,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 2,10.9,58°20.05',169°57.60',1000,Shannon Brown,,,,,,,,,,58.33416666666667,-169.96,Etc/GMT+11,,2023-04-27T00:05:00,3,8.3791,102.218,364.815,32.0748,32.0772,25.7495,25.7514,0.2893,-0.0984,-0.0991,0.4872,10.905,58.33416666666667,-169.96,2023-04-27T00:05:00Z,25,DY2306,25,,3,20240426,5,58.33,-169.96,72,10.9,-0.0984,32.0748,364.82,35.92,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
25,E1725.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-24,,22:34,,,10,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW4,10.9,54°41.21',166°13.81',1000,Shannon Brown,Stored in fridge for ~2 hours before filtering,,,,,,,,,54.68683333333333,-166.23016666666666,Etc/GMT+11,,2023-04-24T22:34:00,9,8.7155,118.883,379.513,32.3039,32.3069,25.6161,25.6184,2.7084,4.2603,4.2609,0.3253,10.924,54.68683333333333,-166.23016666666666,2023-04-24T22:34:00Z,10,DY2306,10,UBW4,9,20240423,2234,54.69,-166.23,291,10.92,4.2603,32.3039,379.51,58.34,66.3,2,32.4,2,0.01,2,2.432,2,0.01,2
26,E1789.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-29,,4:23,,,55,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2W,11.0,56°45.96',164°20.09',1000,Shannon Brown,,,,,,,,,,56.766,-164.33483333333334,Etc/GMT+11,,2023-04-29T04:23:00,7,8.3993,108.624,365.8,31.8833,30.7321,25.4594,24.5387,1.2504,2.2197,2.2176,0.554,11.009,56.766,-164.33483333333334,2023-04-29T04:23:00Z,55,DY2306,55,M2W,7,20240428,423,56.77,-164.33,74,11.01,2.2197,31.8833,365.8,21.08,30.5,2,14.2,2,0.19,2,1.396,2,0.09,2
27,E1749.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-26,,19:46,,,22,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 1,11.0,58°16.73',169°43.24',1000,Shannon Brown,,,,,,,,,,58.27883333333333,-169.72066666666666,Etc/GMT+11,,2023-04-26T19:46:00,3,8.271,101.695,360.081,32.1994,32.2031,25.838,25.8408,0.5106,0.1672,0.1699,0.5197,10.966,58.27883333333333,-169.72066666666666,2023-04-26T19:46:00Z,22,DY2306,22,,3,20240425,1946,58.28,-169.72,70,10.97,0.1672,32.1994,360.08,73.52,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
28,E1783.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-28,,22:22,,,51,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M6,11.1,56°59.58',165°22.49',1000,Shannon Brown,Stored in fridge for 2-6 hours before filtering,,,,,,,,,56.993,-165.37483333333333,Etc/GMT+11,,2023-04-28T22:22:00,6,8.1286,104.12,353.982,31.9475,31.9511,25.5391,25.542,0.3324,1.8234,1.8238,0.6069,11.121,56.993,-165.37483333333333,2023-04-28T22:22:00Z,51,DY2306,51,70m6,6,20240427,2222,56.99,-165.37,72,11.12,1.8234,31.9475,353.98,293.26,36.0,2,16.7,2,0.2,2,1.583,2,0.17,2
29,E1728.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-25,,6:00,,,14,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN4,11.2,54°56.11',165°28.95',1000,Shannon Brown,,,,,,,,,,54.93516666666667,-165.4825,Etc/GMT+11,,2023-04-25T06:00:00,8,8.7375,118.587,380.533,32.0806,32.0839,25.4531,25.4557,3.1885,4.1159,4.1158,0.3452,11.241,54.93516666666667,-165.4825,2023-04-25T06:00:00Z,14,DY2306,14,UBN4,8,20240424,600,54.94,-165.48,125,11.24,4.1159,32.0806,380.53,1.09,51.0,2,26.7,2,0.17,2,2.1,2,0.17,2
30,E1786.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-29,,1:37,,,53,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M4,11.3,56°54.46',164°50.17',1000,Shannon Brown,Sampled last on niskins,,,,,,,,,56.907666666666664,-164.83616666666666,Etc/GMT+11,,2023-04-29T01:37:00,7,8.5027,109.07,370.269,31.9632,31.9656,25.548,25.5512,1.1818,1.8763,1.8575,0.5346,11.25,56.907666666666664,-164.83616666666666,2023-04-29T01:37:00Z,53,DY2306,53,70m4,7,20240428,137,56.91,-164.84,72,11.25,1.8763,31.9632,370.27,138.46,32.7,2,14.3,2,0.18,2,1.41,2,0.16,2
31,E1798.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-30,,14:14,,,65,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2C,11.4,56°51.86',164°02.96',1000,Shannon Brown,M2 repeat; stored in fridge for 11 hours before filtering,,,,,,,,,56.864333333333335,-164.04933333333332,Etc/GMT+11,,2023-04-30T14:14:00,6,8.4828,109.747,369.441,31.8649,31.8684,25.4431,25.4459,2.2977,2.2406,2.2407,0.5874,11.35,56.864333333333335,-164.04933333333332,2023-04-30T14:14:00Z,65,DY2306,65,M2C,6,20240429,1414,56.86,-164.05,72,11.35,2.2406,31.8649,369.44,0.03,26.2,2,12.8,2,0.22,2,1.217,2,0.14,2
32,E1803.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-05-05,,22:01,,,78,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW1,13.0,53°58.89',166°58.55',1000,Shannon Brown,Stored in fridge for 6-7 hours before filtering,,,,,,,,,53.9815,-166.97583333333333,America/Anchorage,,2023-05-05T22:01:00,8,7.9456,110.015,345.931,32.5821,32.5913,25.7801,25.787,5.3644,4.8037,4.8073,0.5745,12.957,53.9815,-166.97583333333333,2023-05-05T22:01:00Z,78,DY2306,78,AW1,8,20240504,2201,53.98,-166.98,200,12.96,4.8037,32.5821,345.93,17.08,18.8,2,10.1,2,0.18,2,1.01,2,1.0,2
33,E1719.DY23-06,1.0,1.0,False,DY23-06,2023_AprMay_Dyson,2023-04-24,,8:51,,,4,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBS2,30.0,54°25.35',165°08.86',1000,Shannon Brown,Lost the 10 m sample as the Niskin didn't close,,,,,,,,,54.4225,-165.14766666666668,America/Anchorage,,2023-04-24T08:51:00,7,8.338,112.965,363.146,32.0308,32.0351,25.4193,25.4227,1.9902,4.0567,4.0572,0.3467,29.952,54.405833333333334,-165.14766666666668,2023-04-24T08:51:00Z,4,DY2306,4,UBS2,7,20240423,851,54.41,-165.15,138,29.95,4.0567,32.0308,363.15,0.0,28.0,2,14.9,2,0.19,2,1.367,2,0.39,2
