BOTTLE, ECOFOCI NUTRIENTS,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,STNNBR,SECT_ID,BTLNBR,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDOXY,PAR,SILCAT,SILCAT_FLAG,NITRAT,NITRAT_FLAG,NITRIT,NITRIT_FLAG,PHSPHT,PHSPHT_FLAG,NH4,NH4_FLAG
DY2306,4,UBS2,7,20240423,851,54.41,-165.15,138,29.95,4.0567,32.0308,363.15,0.0,28.0,2,14.9,2,0.19,2,1.367,2,0.39,2
DY2306,4,UBS2,8,20240423,851,54.41,-165.15,138,20.23,4.0392,31.9735,366.86,0.0,27.4,2,13.1,2,0.18,2,1.277,2,0.4,2
DY2306,4,UBS2,9,20240423,851,54.41,-165.15,138,9.95,4.0181,31.9253,369.09,0.0,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,4,UBS2,10,20240423,851,54.41,-165.15,138,1.86,4.0099,31.912,348.75,1.71,25.4,2,13.7,2,0.2,2,1.266,2,0.47,2
DY2306,5,UBS3,1,20240423,1033,54.38,-165.28,166,162.06,4.0997,32.8013,300.13,0.0,31.5,2,15.6,2,0.21,2,1.403,2,0.25,2
DY2306,5,UBS3,2,20240423,1033,54.38,-165.28,166,101.09,4.0457,32.587,332.16,0.0,32.1,2,15.6,2,0.2,2,1.402,2,0.34,2
DY2306,5,UBS3,3,20240423,1033,54.38,-165.28,166,75.94,4.0454,32.5094,343.55,0.0,39.0,2,19.2,2,0.22,2,1.579,2,0.28,2
DY2306,5,UBS3,4,20240423,1033,54.38,-165.28,166,50.91,4.0456,32.4992,344.91,0.0,41.0,2,19.6,2,0.2,2,1.701,2,0.36,2
DY2306,5,UBS3,5,20240423,1033,54.38,-165.28,166,40.68,4.0414,32.4869,346.2,0.0,41.7,2,19.1,2,0.19,2,1.663,2,0.37,2
DY2306,5,UBS3,7,20240423,1033,54.38,-165.28,166,31.31,4.0385,32.4724,347.93,0.0,41.2,2,21.1,2,0.22,2,1.737,2,0.38,2
DY2306,5,UBS3,8,20240423,1033,54.38,-165.28,166,20.45,4.0809,32.3718,361.19,0.0,41.7,2,19.6,2,0.19,2,1.69,2,0.36,2
DY2306,5,UBS3,9,20240423,1033,54.38,-165.28,166,9.75,4.1031,32.0999,368.6,0.05,43.6,2,22.6,2,0.2,2,1.829,2,0.39,2
DY2306,5,UBS3,10,20240423,1033,54.38,-165.28,166,2.09,4.048,32.0564,347.97,2.26,51.9,2,25.8,2,0.16,2,2.046,2,0.3,2
DY2306,6,UBS4,1,20240423,1149,54.34,-165.43,157,154.13,4.1757,32.9731,280.56,0.0,53.2,2,27.9,2,0.12,2,2.176,2,0.21,2
DY2306,6,UBS4,2,20240423,1149,54.34,-165.43,157,101.06,4.1264,32.8369,297.21,0.0,49.7,2,26.5,2,0.16,2,2.092,2,0.28,2
DY2306,6,UBS4,3,20240423,1149,54.34,-165.43,157,75.69,4.1345,32.7317,307.96,0.0,49.3,2,24.8,2,0.17,2,2.001,2,0.61,2
DY2306,6,UBS4,4,20240423,1149,54.34,-165.43,157,50.61,4.1232,32.5843,328.41,0.0,44.5,2,22.5,2,0.19,2,1.83,2,0.44,2
DY2306,6,UBS4,5,20240423,1149,54.34,-165.43,157,40.55,4.1216,32.5692,331.28,0.0,43.5,2,22.2,2,0.19,2,1.808,2,0.41,2
DY2306,6,UBS4,7,20240423,1149,54.34,-165.43,157,30.6,4.1125,32.5384,336.56,0.0,43.8,2,21.6,2,0.19,2,1.732,2,0.41,2
DY2306,6,UBS4,8,20240423,1149,54.34,-165.43,157,20.7,4.1227,32.497,345.7,0.0,40.7,2,20.6,2,0.2,2,1.691,2,0.36,2
DY2306,6,UBS4,9,20240423,1149,54.34,-165.43,157,9.91,4.1336,32.4226,357.85,0.04,38.6,2,19.2,2,0.21,2,1.582,2,0.27,2
DY2306,6,UBS4,10,20240423,1149,54.34,-165.43,157,2.18,4.1564,32.3515,351.44,2.0,34.9,2,17.3,2,0.23,2,1.445,2,0.23,2
DY2306,7,UBW1,1,20240423,1444,54.36,-165.93,471,471.77,4.1642,33.6372,121.06,0.0,26.0,2,13.2,2,0.25,2,1.113,2,0.16,2
DY2306,7,UBW1,2,20240423,1444,54.36,-165.93,471,302.35,4.3123,33.3603,201.01,0.0,28.4,2,14.2,2,0.25,2,1.224,2,0.33,2
DY2306,7,UBW1,3,20240423,1444,54.36,-165.93,471,100.62,4.1416,32.8322,296.75,0.0,34.7,2,17.4,2,0.25,2,1.497,2,0.59,2
DY2306,7,UBW1,4,20240423,1444,54.36,-165.93,471,76.84,4.045,32.6982,323.26,0.0,39.6,2,19.4,2,0.26,2,1.688,2,0.64,2
DY2306,7,UBW1,5,20240423,1444,54.36,-165.93,471,50.96,3.7971,32.4697,358.11,0.0,42.6,2,20.8,2,0.26,2,1.753,2,0.61,2
DY2306,7,UBW1,7,20240423,1444,54.36,-165.93,471,40.82,3.7856,32.4343,362.89,0.0,44.2,2,21.4,2,0.27,2,1.795,2,0.54,2
DY2306,7,UBW1,8,20240423,1444,54.36,-165.93,471,30.39,3.8519,32.393,371.55,0.0,48.4,2,25.0,2,0.27,2,1.987,2,0.22,2
DY2306,7,UBW1,9,20240423,1444,54.36,-165.93,471,18.05,3.9214,32.3304,384.59,0.0,51.1,2,27.2,2,0.15,2,2.113,2,0.16,2
DY2306,7,UBW1,10,20240423,1444,54.36,-165.93,471,10.4,4.3348,32.3231,412.52,0.0,60.1,2,29.9,2,0.07,2,2.261,2,0.0,2
DY2306,7,UBW1,11,20240423,1444,54.36,-165.93,471,2.01,4.3433,32.3241,388.36,2.04,84.7,2,32.6,2,0.02,2,2.635,2,0.09,2
DY2306,8,UBW2,1,20240423,1720,54.48,-166.04,534,507.08,3.9057,33.8542,60.31,0.0,15.8,2,9.8,2,0.25,2,0.825,2,0.13,2
DY2306,8,UBW2,2,20240423,1720,54.48,-166.04,534,302.83,4.3805,33.4116,173.23,0.0,16.2,2,10.0,2,0.25,2,0.86,2,0.19,2
DY2306,8,UBW2,3,20240423,1720,54.48,-166.04,534,202.07,4.232,33.0929,268.96,0.0,26.5,2,14.9,2,0.24,2,1.297,2,0.82,2
DY2306,8,UBW2,4,20240423,1720,54.48,-166.04,534,101.65,4.1105,32.6865,314.3,0.0,39.1,2,19.4,2,0.25,2,1.681,2,0.91,2
DY2306,8,UBW2,5,20240423,1720,54.48,-166.04,534,75.82,4.179,32.6061,329.09,0.0,37.8,2,18.8,2,0.23,2,1.658,2,1.21,2
DY2306,8,UBW2,6,20240423,1720,54.48,-166.04,534,50.42,3.9735,32.4689,359.04,0.0,40.2,2,19.9,2,0.24,2,1.722,2,1.16,2
DY2306,8,UBW2,7,20240423,1720,54.48,-166.04,534,40.81,3.9904,32.458,360.08,0.0,43.9,2,22.8,2,0.25,2,1.903,2,1.04,2
DY2306,8,UBW2,8,20240423,1720,54.48,-166.04,534,30.92,3.8588,32.4241,366.74,0.0,48.7,2,24.6,2,0.25,2,2.025,2,0.51,2
DY2306,8,UBW2,9,20240423,1720,54.48,-166.04,534,20.71,4.1937,32.3998,390.84,0.02,56.9,2,29.5,2,0.04,2,2.276,2,0.04,2
DY2306,8,UBW2,10,20240423,1720,54.48,-166.04,534,10.68,4.3331,32.3571,428.71,1.19,72.6,2,34.3,2,0.0,2,2.54,2,0.02,2
DY2306,8,UBW2,11,20240423,1720,54.48,-166.04,534,1.86,4.3361,32.3555,402.83,50.94,99.5,2,40.6,2,0.01,2,2.988,2,0.04,2
DY2306,9,UBW3,1,20240423,2022,54.59,-166.12,408,393.15,4.0836,33.7142,77.23,0.0,90.6,2,34.5,2,0.02,2,2.636,2,0.03,2
DY2306,9,UBW3,2,20240423,2022,54.59,-166.12,408,307.27,4.3185,33.4516,131.2,0.0,75.7,2,35.0,2,0.03,2,2.613,2,0.01,2
DY2306,9,UBW3,3,20240423,2022,54.59,-166.12,408,204.68,4.2565,33.0538,279.63,0.0,58.5,2,29.0,2,0.04,2,2.254,2,0.03,2
DY2306,9,UBW3,4,20240423,2022,54.59,-166.12,408,102.36,4.1511,32.5904,329.92,0.0,42.6,2,22.4,2,0.24,2,1.878,2,0.98,2
DY2306,9,UBW3,5,20240423,2022,54.59,-166.12,408,76.84,4.135,32.5296,346.31,0.0,39.3,2,20.5,2,0.22,2,1.786,2,1.35,2
DY2306,9,UBW3,6,20240423,2022,54.59,-166.12,408,50.99,4.2182,32.4103,393.44,0.0,27.7,2,15.2,2,0.23,2,1.302,2,0.63,2
DY2306,9,UBW3,7,20240423,2022,54.59,-166.12,408,40.72,4.2668,32.4109,397.77,0.0,26.4,2,14.7,2,0.23,2,1.283,2,0.5,2
DY2306,9,UBW3,8,20240423,2022,54.59,-166.12,408,31.09,4.2839,32.4104,400.97,0.0,25.5,2,14.6,2,0.24,2,1.266,2,0.38,2
DY2306,9,UBW3,9,20240423,2022,54.59,-166.12,408,21.15,4.3281,32.4046,407.04,0.52,23.4,2,13.3,2,0.24,2,1.136,2,0.22,2
DY2306,9,UBW3,10,20240423,2022,54.59,-166.12,408,10.99,4.3933,32.3943,409.99,8.84,23.8,2,12.9,2,0.24,2,1.065,2,0.19,2
DY2306,9,UBW3,11,20240423,2022,54.59,-166.12,408,2.25,4.3936,32.3922,384.26,163.43,23.3,2,12.8,2,0.36,2,1.116,2,0.38,2
DY2306,10,UBW4,1,20240423,2234,54.69,-166.23,291,290.25,4.2859,33.4956,155.36,0.0,33.8,2,16.7,2,0.23,2,1.398,2,0.15,2
DY2306,10,UBW4,2,20240423,2234,54.69,-166.23,291,200.95,4.3517,33.2845,214.36,0.0,32.3,2,16.6,2,0.23,2,1.384,2,0.16,2
DY2306,10,UBW4,3,20240423,2234,54.69,-166.23,291,101.52,3.9569,32.5936,338.43,0.0,28.6,2,13.7,2,0.19,2,1.263,2,0.12,2
DY2306,10,UBW4,4,20240423,2234,54.69,-166.23,291,76.64,3.9277,32.4577,354.25,0.0,33.7,2,16.8,2,0.22,2,1.408,2,0.13,2
DY2306,10,UBW4,5,20240423,2234,54.69,-166.23,291,51.45,4.1969,32.3327,388.67,0.0,32.2,2,16.2,2,0.24,2,1.319,2,0.16,2
DY2306,10,UBW4,6,20240423,2234,54.69,-166.23,291,40.65,4.2079,32.3255,385.99,0.07,32.1,2,15.9,2,0.24,2,1.298,2,0.15,2
DY2306,10,UBW4,7,20240423,2234,54.69,-166.23,291,30.16,4.2294,32.3151,380.48,1.0,42.6,2,20.7,2,0.26,2,1.699,2,0.74,2
DY2306,10,UBW4,8,20240423,2234,54.69,-166.23,291,21.2,4.2153,32.3209,385.2,8.26,45.4,2,20.4,2,0.26,2,1.751,2,0.06,2
DY2306,10,UBW4,9,20240423,2234,54.69,-166.23,291,10.92,4.2603,32.3039,379.51,58.34,66.3,2,32.4,2,0.01,2,2.432,2,0.01,2
DY2306,10,UBW4,10,20240423,2234,54.69,-166.23,291,2.86,4.2639,32.3045,356.88,398.59,76.2,2,35.0,2,0.05,2,2.618,2,0.03,2
DY2306,11,UBN1,1,20240424,43,54.74,-166.06,228,225.3,4.3096,33.3748,191.19,0.0,69.6,2,21.1,2,0.04,2,2.123,2,0.03,2
DY2306,11,UBN1,2,20240424,43,54.74,-166.06,228,101.26,4.1355,32.8072,303.97,0.0,53.1,2,26.7,2,0.12,2,2.082,2,0.02,2
DY2306,11,UBN1,3,20240424,43,54.74,-166.06,228,75.47,3.9432,32.5996,341.73,0.0,32.6,2,10.3,2,0.13,2,1.406,2,0.18,2
DY2306,11,UBN1,4,20240424,43,54.74,-166.06,228,50.8,4.0054,32.4476,385.98,0.0,33.0,2,16.8,2,0.25,2,1.433,2,0.46,2
DY2306,11,UBN1,5,20240424,43,54.74,-166.06,228,41.56,4.0288,32.4446,390.18,0.0,30.4,2,14.7,2,0.26,2,1.261,2,0.13,2
DY2306,11,UBN1,6,20240424,43,54.74,-166.06,228,30.97,4.0774,32.4375,397.47,0.15,29.8,2,15.0,2,0.26,2,1.274,2,0.17,2
DY2306,11,UBN1,7,20240424,43,54.74,-166.06,228,20.96,4.0958,32.4351,401.07,1.58,30.0,2,15.2,2,0.26,2,1.272,2,0.21,2
DY2306,11,UBN1,8,20240424,43,54.74,-166.06,228,10.63,4.1104,32.4339,403.87,25.3,29.8,2,15.4,2,0.26,2,1.301,2,0.24,2
DY2306,11,UBN1,9,20240424,43,54.74,-166.06,228,2.43,4.1544,32.4341,379.94,299.02,30.2,2,15.8,2,0.25,2,1.318,2,0.39,2
DY2306,12,UBN2,1,20240424,324,54.82,-165.85,161,159.06,4.3251,33.1255,234.14,0.0,24.5,2,12.4,2,0.25,2,1.066,2,0.24,2
DY2306,12,UBN2,2,20240424,324,54.82,-165.85,161,126.32,4.1382,32.8335,292.78,0.0,25.1,2,12.6,2,0.25,2,1.108,2,0.21,2
DY2306,12,UBN2,3,20240424,324,54.82,-165.85,161,102.17,3.9942,32.6339,329.71,0.0,25.1,2,12.0,2,0.21,2,1.159,2,0.36,2
DY2306,12,UBN2,4,20240424,324,54.82,-165.85,161,76.71,4.0005,32.4594,367.66,0.0,29.6,2,15.6,2,0.25,2,1.347,2,0.51,2
DY2306,12,UBN2,5,20240424,324,54.82,-165.85,161,51.9,4.009,32.417,374.9,0.0,30.6,2,13.8,2,0.21,2,1.301,2,0.61,2
DY2306,12,UBN2,6,20240424,324,54.82,-165.85,161,40.55,4.0254,32.4053,379.75,0.0,33.4,2,17.0,2,0.24,2,1.483,2,0.73,2
DY2306,12,UBN2,7,20240424,324,54.82,-165.85,161,31.21,4.0703,32.3664,391.96,0.02,38.0,2,19.5,2,0.27,2,1.667,2,0.77,2
DY2306,12,UBN2,8,20240424,324,54.82,-165.85,161,21.14,4.08,32.351,396.26,0.53,46.2,2,20.3,2,0.24,2,1.837,2,0.07,2
DY2306,12,UBN2,9,20240424,324,54.82,-165.85,161,10.63,4.1696,32.3192,411.82,8.43,53.6,2,27.5,2,0.16,2,2.161,2,0.02,2
DY2306,12,UBN2,10,20240424,324,54.82,-165.85,161,2.58,4.177,32.3166,387.8,115.53,64.4,2,31.2,2,0.13,2,2.43,2,0.1,2
DY2306,13,UBN3,1,20240424,454,54.87,-165.67,144,139.65,4.2201,33.017,273.88,0.0,58.0,2,29.4,2,0.11,2,2.274,2,0.08,2
DY2306,13,UBN3,2,20240424,454,54.87,-165.67,144,102.08,4.1108,32.8222,302.36,0.0,52.0,2,26.4,2,0.15,2,2.128,2,0.06,2
DY2306,13,UBN3,3,20240424,454,54.87,-165.67,144,76.22,3.9564,32.5942,333.34,0.0,49.0,2,24.1,2,0.28,2,1.97,2,0.12,2
DY2306,13,UBN3,4,20240424,454,54.87,-165.67,144,51.17,3.8881,32.4308,340.2,0.0,43.9,2,22.7,2,0.28,2,1.878,2,0.25,2
DY2306,13,UBN3,5,20240424,454,54.87,-165.67,144,40.19,3.8016,32.2987,357.55,0.0,38.3,2,19.9,2,0.26,2,1.695,2,0.44,2
DY2306,13,UBN3,6,20240424,454,54.87,-165.67,144,30.58,3.9068,32.1159,394.82,0.0,26.5,2,14.1,2,0.23,2,1.27,2,0.28,2
DY2306,13,UBN3,7,20240424,454,54.87,-165.67,144,19.02,3.9739,32.0729,404.66,0.58,23.2,2,12.3,2,0.22,2,1.156,2,0.18,2
DY2306,13,UBN3,8,20240424,454,54.87,-165.67,144,9.8,4.0361,32.0602,410.6,8.32,23.3,2,11.6,2,0.2,2,1.115,2,0.16,2
DY2306,13,UBN3,9,20240424,454,54.87,-165.67,144,2.25,4.0318,32.0607,384.36,128.42,23.4,2,11.3,2,0.21,2,1.069,2,0.16,2
DY2306,14,UBN4,1,20240424,600,54.94,-165.48,125,122.0,4.1388,32.8681,292.56,0.0,28.3,2,14.7,2,0.22,2,1.273,2,0.18,2
DY2306,14,UBN4,2,20240424,600,54.94,-165.48,125,102.07,4.0673,32.7543,307.33,0.0,27.9,2,15.2,2,0.23,2,1.24,2,0.21,2
DY2306,14,UBN4,3,20240424,600,54.94,-165.48,125,77.04,3.9702,32.5656,328.11,0.0,27.7,2,12.7,2,0.18,2,1.279,2,0.19,2
DY2306,14,UBN4,4,20240424,600,54.94,-165.48,125,51.03,3.9794,32.3025,344.07,0.0,32.6,2,18.3,2,0.23,2,1.555,2,0.37,2
DY2306,14,UBN4,5,20240424,600,54.94,-165.48,125,41.75,3.9912,32.2873,347.58,0.0,35.5,2,19.2,2,0.21,2,1.582,2,0.5,2
DY2306,14,UBN4,6,20240424,600,54.94,-165.48,125,31.0,4.0414,32.176,358.48,0.0,38.3,2,20.8,2,0.22,2,1.721,2,0.43,2
DY2306,14,UBN4,7,20240424,600,54.94,-165.48,125,20.92,4.1013,32.0901,374.75,0.11,45.8,2,24.1,2,0.23,2,1.893,2,0.49,2
DY2306,14,UBN4,8,20240424,600,54.94,-165.48,125,11.24,4.1159,32.0806,380.53,1.09,51.0,2,26.7,2,0.17,2,2.1,2,0.17,2
DY2306,14,UBN4,9,20240424,600,54.94,-165.48,125,1.93,4.1133,32.0812,358.08,14.07,53.9,2,28.0,2,0.12,2,2.185,2,0.21,2
DY2306,15,UBN5,1,20240424,737,54.99,-165.28,116,114.44,4.0492,32.716,313.2,0.0,48.3,2,26.2,2,0.2,2,2.07,2,0.22,2
DY2306,15,UBN5,2,20240424,737,54.99,-165.28,116,101.02,3.9971,32.5912,324.3,0.0,43.8,2,24.1,2,0.22,2,1.936,2,0.39,2
DY2306,15,UBN5,3,20240424,737,54.99,-165.28,116,76.26,3.9558,32.1943,345.26,0.0,36.0,2,19.8,2,0.22,2,1.678,2,0.57,2
DY2306,15,UBN5,4,20240424,737,54.99,-165.28,116,51.02,4.0742,31.989,344.12,0.0,29.5,2,16.5,2,0.21,2,1.494,2,0.65,2
DY2306,15,UBN5,5,20240424,737,54.99,-165.28,116,41.45,4.0723,31.955,345.69,0.0,28.6,2,15.7,2,0.21,2,1.411,2,0.66,2
DY2306,15,UBN5,6,20240424,737,54.99,-165.28,116,30.88,4.067,31.9098,348.37,0.0,27.5,2,15.5,2,0.22,2,1.394,2,0.68,2
DY2306,15,UBN5,7,20240424,737,54.99,-165.28,116,21.29,4.0767,31.8968,358.51,0.0,24.6,2,13.9,2,0.21,2,1.268,2,0.53,2
DY2306,15,UBN5,8,20240424,737,54.99,-165.28,116,10.07,4.1099,31.8546,384.47,0.03,22.0,2,11.8,2,0.2,2,1.076,2,0.28,2
DY2306,15,UBN5,9,20240424,737,54.99,-165.28,116,1.9,4.1077,31.8536,359.68,2.15,20.8,2,11.2,2,0.2,2,1.09,2,0.22,2
DY2306,16,UBN6,1,20240424,841,55.05,-165.1,113,110.6,3.9908,32.5644,326.39,0.0,25.8,2,13.3,2,0.23,2,1.236,2,0.16,2
DY2306,16,UBN6,2,20240424,841,55.05,-165.1,113,76.2,3.9461,32.4828,338.67,0.0,25.7,2,13.3,2,0.21,2,1.199,2,0.14,2
DY2306,16,UBN6,3,20240424,841,55.05,-165.1,113,50.82,3.9976,32.2306,353.35,0.0,25.8,2,13.4,2,0.22,2,1.192,2,0.16,2
DY2306,16,UBN6,4,20240424,841,55.05,-165.1,113,40.44,4.0569,32.0852,365.3,0.0,23.7,2,10.4,2,0.16,2,1.149,2,0.16,2
DY2306,16,UBN6,5,20240424,841,55.05,-165.1,113,30.53,4.0952,32.0192,380.34,0.0,31.9,2,16.7,2,0.22,2,1.444,2,0.36,2
DY2306,16,UBN6,6,20240424,841,55.05,-165.1,113,30.78,4.0924,32.0221,379.26,0.0,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,16,UBN6,7,20240424,841,55.05,-165.1,113,20.28,4.0999,32.0092,384.5,0.0,38.0,2,19.4,2,0.22,2,1.635,2,0.4,2
DY2306,16,UBN6,8,20240424,841,55.05,-165.1,113,10.31,4.0995,32.008,371.19,0.02,39.7,2,17.9,2,0.18,2,1.63,2,0.3,2
DY2306,16,UBN6,9,20240424,841,55.05,-165.1,113,1.99,4.0978,32.0082,359.66,1.97,45.7,2,21.2,2,0.18,2,1.803,2,0.33,2
DY2306,17,UBE1,1,20240424,1017,54.93,-165.0,93,89.4,3.803,31.8784,353.92,0.0,16.0,2,12.1,2,0.17,2,1.006,2,0.34,2
DY2306,17,UBE1,2,20240424,1017,54.93,-165.0,93,78.29,3.7899,31.8473,355.88,0.0,16.0,2,12.1,2,0.17,2,1.013,2,0.31,2
DY2306,17,UBE1,3,20240424,1017,54.93,-165.0,93,48.9,3.9233,31.6565,385.44,0.0,14.7,2,11.1,2,0.16,2,0.961,2,0.32,2
DY2306,17,UBE1,4,20240424,1017,54.93,-165.0,93,42.81,3.8567,31.5969,389.68,0.0,15.9,2,11.9,2,0.17,2,1.022,2,0.31,2
DY2306,17,UBE1,5,20240424,1017,54.93,-165.0,93,31.8,3.8364,31.5511,393.67,0.0,17.0,2,12.6,2,0.17,2,1.04,2,0.35,2
DY2306,17,UBE1,6,20240424,1017,54.93,-165.0,93,20.25,3.8328,31.5482,393.32,0.0,19.4,2,6.9,2,0.19,2,1.104,2,0.39,2
DY2306,17,UBE1,7,20240424,1017,54.93,-165.0,93,10.16,3.8282,31.5464,392.59,0.02,29.5,2,18.5,2,0.21,2,1.47,2,0.84,2
DY2306,17,UBE1,8,20240424,1017,54.93,-165.0,93,2.14,3.8254,31.5441,368.15,1.86,30.9,2,19.0,2,0.21,2,1.508,2,0.89,2
DY2306,18,UBE2,1,20240424,1208,54.82,-164.89,75,72.1,3.7469,31.9317,342.25,0.0,35.7,2,21.2,2,0.2,2,1.659,2,0.74,2
DY2306,18,UBE2,2,20240424,1208,54.82,-164.89,75,52.14,3.7496,31.9241,344.03,0.0,35.7,2,21.2,2,0.19,2,1.625,2,0.69,2
DY2306,18,UBE2,3,20240424,1208,54.82,-164.89,75,40.32,3.7533,31.893,349.78,0.0,32.3,2,19.9,2,0.2,2,1.544,2,0.6,2
DY2306,18,UBE2,4,20240424,1208,54.82,-164.89,75,30.92,3.7548,31.7783,365.18,0.0,26.5,2,16.5,2,0.17,2,1.377,2,0.43,2
DY2306,18,UBE2,5,20240424,1208,54.82,-164.89,75,20.32,3.7541,31.5438,379.41,0.0,28.1,2,17.0,2,0.19,2,1.293,2,0.24,2
DY2306,18,UBE2,6,20240424,1208,54.82,-164.89,75,10.44,3.7542,31.5437,379.0,0.06,27.1,2,16.8,2,0.19,2,1.276,2,0.27,2
DY2306,18,UBE2,7,20240424,1208,54.82,-164.89,75,1.74,3.7518,31.5439,355.51,1.6,27.4,2,14.8,2,0.17,2,1.259,2,0.23,2
DY2306,19,UBE3,1,20240424,1328,54.72,-164.77,48,44.07,3.8749,31.6641,390.56,0.0,20.5,2,13.8,2,0.18,2,1.115,2,0.35,2
DY2306,19,UBE3,2,20240424,1328,54.72,-164.77,48,40.83,3.878,31.6633,389.99,0.0,20.9,2,14.0,2,0.19,2,1.126,2,0.36,2
DY2306,19,UBE3,3,20240424,1328,54.72,-164.77,48,30.24,3.8713,31.6553,390.96,0.0,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,19,UBE3,4,20240424,1328,54.72,-164.77,48,21.55,3.87,31.6519,391.17,0.0,21.3,2,14.1,2,0.19,2,1.117,2,0.33,2
DY2306,19,UBE3,5,20240424,1328,54.72,-164.77,48,10.63,3.8543,31.6393,391.62,0.06,21.5,2,14.4,2,0.19,2,1.142,2,0.3,2
DY2306,19,UBE3,6,20240424,1328,54.72,-164.77,48,1.86,3.8497,31.6356,365.72,2.92,21.4,2,14.3,2,0.18,2,1.146,2,0.32,2
DY2306,22,,1,20240425,1946,58.28,-169.72,70,65.99,0.3138,32.2676,357.33,0.0,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,22,,2,20240425,1946,58.28,-169.72,70,30.98,0.3119,32.2666,357.56,3.05,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,22,,3,20240425,1946,58.28,-169.72,70,10.97,0.1672,32.1994,360.08,73.52,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,23,,1,20240425,1708,58.32,-169.7,70,65.68,0.3259,32.2652,358.22,0.0,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,23,,2,20240425,1708,58.32,-169.7,70,30.98,0.3246,32.2639,358.53,6.23,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,23,,3,20240425,1708,58.32,-169.7,70,10.77,0.0508,32.1192,363.67,149.58,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,24,,1,20240425,2256,58.33,-169.85,71,65.53,0.3303,32.2743,357.38,0.0,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
DY2306,24,,2,20240425,2256,58.33,-169.85,71,51.14,0.3268,32.2736,357.43,0.2,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999,-999.0,-999
