Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes,,,,,,,,
E1747.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,19:46,NA,NA,CTD022,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 1,66,58°16.73',169°43.24',1000,Shannon Brown,,,,,,,,,
E1748.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,19:46,NA,NA,CTD022,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 1,31,58°16.73',169°43.24',1000,Shannon Brown,,,,,,,,,
E1749.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,19:46,NA,NA,CTD022,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 1,11,58°16.73',169°43.24',1000,Shannon Brown,,,,,,,,,
E1750.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,5:41,NA,NA,CTD028,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M24,64.8,58°02.70',169°40.85',1000,Shannon Brown,,,,,,,,,
E1751.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,5:41,NA,NA,CTD028,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M24,30.9,58°02.70',169°40.85',1000,Shannon Brown,,,,,,,,,
E1752.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,5:41,NA,NA,CTD028,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M24,10.5,58°02.70',169°40.85',1000,Shannon Brown,,,,,,,,,
E1753.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,8:16,NA,NA,CTD030,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M22,62.6,57°55.79',169°19.96',1000,Shannon Brown,,,,,,,,,
E1754.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,8:16,NA,NA,CTD030,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M22,30.4,57°55.79',169°19.96',1000,Shannon Brown,,,,,,,,,
E1755.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,8:16,NA,NA,CTD030,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M22,10.5,57°55.79',169°19.96',1000,Shannon Brown,,,,,,,,,
E1756.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,17:25,NA,NA,CTD033,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M4,67.3,57°51.25',168°54.18',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1757.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,17:25,NA,NA,CTD033,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M4,30.9,57°51.25',168°54.18',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1758.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,17:25,NA,NA,CTD033,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M4,9.6,57°51.25',168°54.18',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1759.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,19:40,NA,NA,CTD034,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M19,63.9,57°39.24',169°00.63',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1760.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,19:40,NA,NA,CTD034,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M19,31,57°39.24',169°00.63',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1761.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,19:40,NA,NA,CTD034,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M19,10.6,57°39.24',169°00.63',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1762.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,21:42,NA,NA,CTD035,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M18,66.5,57°31.41',168°36.68',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1763.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,21:42,NA,NA,CTD035,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M18,30.6,57°31.41',168°36.68',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1764.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,21:42,NA,NA,CTD035,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M18,10.2,57°31.41',168°36.68',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1765.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,0:34,NA,NA,CTD037,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M16,67.3,57°30.05',167°59.30',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1766.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,0:34,NA,NA,CTD037,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M16,30.9,57°30.05',167°59.30',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1767.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,0:34,NA,NA,CTD037,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M16,10.3,57°30.05',167°59.30',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1768.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,3:31,NA,NA,CTD039,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M14,65.6,57°29.87',167°20.57',1000,Shannon Brown,,,,,,,,,
E1769.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,3:31,NA,NA,CTD039,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M14,30.6,57°29.87',167°20.57',1000,Shannon Brown,,,,,,,,,
E1770.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,3:31,NA,NA,CTD039,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M14,9.7,57°29.87',167°20.57',1000,Shannon Brown,,,,,,,,,
E1771.NC.DY23-06,NA,NA,TRUE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,,NA,NA,NA,NA,Sterivex 0.22µm filter,95% EtOH,NA,NA,NA,NA,NA,1000,Shannon Brown,,,,,,,,,
E1772.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,6:15,NA,NA,CTD041,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M12,64.1,57°25.86',166°48.78',1000,Shannon Brown,,,,,,,,,
E1773.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,6:15,NA,NA,CTD041,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M12,31.1,57°25.86',166°48.78',1000,Shannon Brown,,,,,,,,,
E1774.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,6:15,NA,NA,CTD041,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M12,10.5,57°25.86',166°48.78',1000,Shannon Brown,"Accidently have a repeated sample ID, but from two different sites",,,,,,,,
E1777.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,8:47,NA,NA,CTD043,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M10,63.4,57°26.39',166°19.60',1000,Shannon Brown,"Accidently have a repeated sample ID, but from two different sites",,,,,,,,
E1775.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,8:47,NA,NA,CTD043,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M10,30.3,57°26.39',166°19.60',1000,Shannon Brown,,,,,,,,,
E1776.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,8:47,NA,NA,CTD043,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M10,10,57°26.39',166°19.60',1000,Shannon Brown,,,,,,,,,
E1777.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shannon Brown,Missing this sample ID; need to check physical samples & notebook,,,,,,,,
E1778.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,19:37,NA,NA,CTD049,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M8,64,57°15.70',165°44.93',1000,Shannon Brown,Stored in fridge for 2-6 hours before filtering,,,,,,,,
E1779.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,19:37,NA,NA,CTD049,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M8,31.1,57°15.70',165°44.93',1000,Shannon Brown,Stored in fridge for 2-6 hours before filtering,,,,,,,,
E1780.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,19:37,NA,NA,CTD049,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M8,10.6,57°15.70',165°44.93',1000,Shannon Brown,Stored in fridge for 2-6 hours before filtering,,,,,,,,
E1781.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,22:22,NA,NA,CTD051,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M6,66.8,56°59.58',165°22.49',1000,Shannon Brown,Stored in fridge for 2-6 hours before filtering,,,,,,,,
E1782.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,22:22,NA,NA,CTD051,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M6,30.7,56°59.58',165°22.49',1000,Shannon Brown,Stored in fridge for 2-6 hours before filtering,,,,,,,,
E1783.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,22:22,NA,NA,CTD051,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M6,11.1,56°59.58',165°22.49',1000,Shannon Brown,Stored in fridge for 2-6 hours before filtering,,,,,,,,
E1784.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,1:37,NA,NA,CTD053,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M4,67.2,56°54.46',164°50.17',1000,Shannon Brown,Sampled last on niskins,,,,,,,,
E1785.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,1:37,NA,NA,CTD053,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M4,31.2,56°54.46',164°50.17',1000,Shannon Brown,Sampled last on niskins,,,,,,,,
E1786.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,1:37,NA,NA,CTD053,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M4,11.3,56°54.46',164°50.17',1000,Shannon Brown,Sampled last on niskins,,,,,,,,
E1787.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,4:23,NA,NA,CTD055,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2W,69,56°45.96',164°20.09',1000,Shannon Brown,,,,,,,,,
E1788.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,4:23,NA,NA,CTD055,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2W,30.4,56°45.96',164°20.09',1000,Shannon Brown,,,,,,,,,
E1789.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,4:23,NA,NA,CTD055,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2W,11,56°45.96',164°20.09',1000,Shannon Brown,,,,,,,,,
E1790.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,8:35,NA,NA,CTD057,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2E,64.2,56°56.56',163°50.12',1000,Shannon Brown,,,,,,,,,
E1791.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,8:35,NA,NA,CTD057,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2E,30.5,56°56.56',163°50.12',1000,Shannon Brown,,,,,,,,,
E1792.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,8:35,NA,NA,CTD057,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2E,10.4,56°56.56',163°50.12',1000,Shannon Brown,,,,,,,,,
E1793.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,14:49,NA,NA,CTD059,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2,67.5,56°52.35',164°03.25',1000,Shannon Brown,Stored in fridge for ~14 hours before filtering,,,,,,,,
E1794.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,14:49,NA,NA,CTD059,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2,30.9,56°52.35',164°03.25',1000,Shannon Brown,Stored in fridge for ~14 hours before filtering,,,,,,,,
E1795.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/29/2023,NA,14:49,NA,NA,CTD059,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2,9.9,56°52.35',164°03.25',1000,Shannon Brown,Stored in fridge for ~14 hours before filtering,,,,,,,,
E1796.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/30/2023,NA,14:14,NA,NA,CTD065,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2C,32,56°51.86',164°02.96',1000,Shannon Brown,M2 repeat; stored in fridge for 11 hours before filtering,,,,,,,,
E1797.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/30/2023,NA,14:14,NA,NA,CTD065,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2C,65.8,56°51.86',164°02.96',1000,Shannon Brown,M2 repeat; stored in fridge for 11 hours before filtering,,,,,,,,
E1798.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/30/2023,NA,14:14,NA,NA,CTD065,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2C,11.4,56°51.86',164°02.96',1000,Shannon Brown,M2 repeat; stored in fridge for 11 hours before filtering,,,,,,,,
E1799.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,5/2/2023,NA,2:23,NA,NA,CTD068,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,KUM2A,36.2,58°15.67',163°39.66',1000,Shannon Brown,,,,,,,,,
E1800.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,5/2/2023,NA,2:23,NA,NA,CTD068,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,KUM2A,10.9,58°15.67',163°39.66',1000,Shannon Brown,,,,,,,,,
E1801.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,5/5/2023,NA,22:01,NA,NA,CTD078,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW1,202.1,53°58.89',166°58.55',1000,Shannon Brown,Stored in fridge for 6-7 hours before filtering,,,,,,,,
E1802.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,5/5/2023,NA,22:01,NA,NA,CTD078,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW1,101.1,53°58.89',166°58.55',1000,Shannon Brown,Stored in fridge for 6-7 hours before filtering,,,,,,,,
E1803.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,5/5/2023,NA,22:01,NA,NA,CTD078,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW1,13,53°58.89',166°58.55',1000,Shannon Brown,Stored in fridge for 6-7 hours before filtering,,,,,,,,
E1804.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,5/6/2023,NA,2:29,NA,NA,CTD080,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW3,1519.7,54°10.28',167°09.38',1000,Shannon Brown,,,,,,,,,
E1805.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,5/6/2023,NA,2:29,NA,NA,CTD080,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW3,757.3,54°10.28',167°09.38',1000,Shannon Brown,,,,,,,,,
E1806.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,5/6/2023,NA,2:29,NA,NA,CTD080,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW3,10.7,54°10.28',167°09.38',1000,Shannon Brown,,,,,,,,,
E1807.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,5/6/2023,NA,7:28,NA,NA,CTD082,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW5,647.3,54°26.95',167°23.07',1000,Shannon Brown,,,,,,,,,
