x	MP_E1148_DY2206	MP_E1149_DY2206	MP_E1150_DY2206	MP_E1151_DY2206	MP_E1152_DY2206	MP_E1153_DY2206	MP_E1154_DY2206	MP_E1155_DY2206	MP_E1156_DY2206	MP_E1158_DY2206	MP_E1159_DY2206	MP_E1160_DY2206	MP_E1164_DY2206	MP_E1165_DY2206	MP_E1166_DY2206	MP_E1455_RC0083	MP_E1456_RC0083	MP_E1457_RC0083	MP_E1458_RC0083	MP_E1459_RC0083	MP_E1460_RC0083	MP_E1461_RC0083	MP_E1462_RC0083	MP_E1463_RC0083	MP_E1470_RC0083	MP_E1471_RC0083	MP_E1472_RC0083	MP_E1485_RC0083	MP_E1486_RC0083	MP_E1487_RC0083	MP_E1488_RC0083	MP_E1489_RC0083	MP_E1490_RC0083	MP_E1494_RC0083	MP_E1495_RC0083	MP_E1496_RC0083	MP_E1497_RC0083	MP_E1498_RC0083	MP_E1499_RC0083	MP_E1501_RC0083	MP_E1502_RC0083	MP_E1503_RC0083	MP_E1504_RC0083	MP_E1505_RC0083	MP_E1506_RC0083	MP_E1510_RC0083	MP_E1511_RC0083	MP_E1517_RC0083	MP_E1518_RC0083	MP_E1519_RC0083	MP_E1526_RC0083	MP_E1527_RC0083	MP_E1528_RC0083	MP_E1529_RC0083	MP_E1530_RC0083	MP_E1531_RC0083	MP_E1532_RC0083	MP_E1533_RC0083	MP_E1534_RC0083	MP_E1541_RC0083	MP_E1542_RC0083	MP_E1546_RC0083	MP_E1547_RC0083	MP_E1548_RC0083	MP_E1553_RC0083	MP_E1554_RC0083	MP_E1555_RC0083	MP_E1556_RC0083	MP_E1557_RC0083	MP_E1558_RC0083	MP_E1559_RC0083	MP_E1560_RC0083	MP_E1561_RC0083	MP_E1562_RC0083	MP_E1563_RC0083	MP_E1564_RC0083	MP_E1565_RC0083	MP_E1566_RC0083	MP_E1567_RC0083	MP_E1568_RC0083	MP_E1569_RC0083	MP_E1611_DY2209	MP_E1612_DY2209	MP_E1613_DY2209	MP_E1614_DY2209	MP_E1615_DY2209	MP_E1616_DY2209	MP_E1617_DY2209	MP_E1618_DY2209	MP_E1619_DY2209	MP_E1620_DY2209	MP_E1621_DY2209	MP_E1622_DY2209	MP_E1718_DY2306	MP_E1719_DY2306	MP_E1720_DY2306	MP_E1721_DY2306	MP_E1722_DY2306	MP_E1723_DY2306	MP_E1724_DY2306	MP_E1725_DY2306	MP_E1726_DY2306	MP_E1727_DY2306	MP_E1728_DY2306	MP_E1729_DY2306	MP_E1730_DY2306	MP_E1731_DY2306	MP_E1732_DY2306	MP_E1733_DY2306	MP_E1734_DY2306	MP_E1735_DY2306	MP_E1736_DY2306	MP_E1737_DY2306	MP_E1750_DY2306	MP_E1751_DY2306	MP_E1752_DY2306	MP_E1753_DY2306	MP_E1754_DY2306	MP_E1755_DY2306	MP_E1756_DY2306	MP_E1757_DY2306	MP_E1758_DY2306	MP_E1759_DY2306	MP_E1760_DY2306	MP_E1761_DY2306	MP_E1762_DY2306	MP_E1763_DY2306	MP_E1764_DY2306	MP_E1765_DY2306	MP_E1766_DY2306	MP_E1767_DY2306	MP_E1768_DY2306	MP_E1769_DY2306	MP_E1770_DY2306	MP_E1772_DY2306	MP_E1773_DY2306	MP_E1774_DY2306	MP_E1775_DY2306	MP_E1776_DY2306	MP_E1777_DY2306	MP_E1778_DY2306	MP_E1779_DY2306	MP_E1780_DY2306	MP_E1781_DY2306	MP_E1782_DY2306	MP_E1783_DY2306	MP_E1784_DY2306	MP_E1785_DY2306	MP_E1786_DY2306	MP_E1787_DY2306	MP_E1788_DY2306	MP_E1789_DY2306	MP_E1790_DY2306	MP_E1791_DY2306	MP_E1792_DY2306	MP_E1793_DY2306	MP_E1794_DY2306	MP_E1795_DY2306	MP_E1796_DY2306	MP_E1797_DY2306	MP_E1798_DY2306	MP_E1820_DY2306_PCR1	MP_E1820_DY2306_PCR2	MP_E1820_DY2306_PCR3	MP_E1821_DY2306_PCR1	MP_E1821_DY2306_PCR2	MP_E1821_DY2306_PCR3	MP_E1824_DY2306_PCR1	MP_E1824_DY2306_PCR2	MP_E1824_DY2306_PCR3	MP_E1826_DY2306_PCR1	MP_E1826_DY2306_PCR2	MP_E1826_DY2306_PCR3	MP_E1829_DY2306_PCR1	MP_E1829_DY2306_PCR2	MP_E1829_DY2306_PCR3	MP_E1831_DY2306_PCR1	MP_E1831_DY2306_PCR2	MP_E1831_DY2306_PCR3	MP_E1832_DY2306_PCR1	MP_E1832_DY2306_PCR2	MP_E1832_DY2306_PCR3	MP_E1833_DY2306_PCR1	MP_E1833_DY2306_PCR2	MP_E1833_DY2306_PCR3	MP_E1834_DY2306_PCR1	MP_E1834_DY2306_PCR2	MP_E1834_DY2306_PCR3	MP_E1835_DY2306_PCR1	MP_E1835_DY2306_PCR2	MP_E1835_DY2306_PCR3	MP_E1836_DY2306_PCR1	MP_E1836_DY2306_PCR2	MP_E1836_DY2306_PCR3	MP_E1837_DY2306_PCR1	MP_E1837_DY2306_PCR2	MP_E1837_DY2306_PCR3	MP_E1838_DY2306_PCR1	MP_E1838_DY2306_PCR2	MP_E1838_DY2306_PCR3	MP_E1839_DY2306_PCR1	MP_E1839_DY2306_PCR2	MP_E1839_DY2306_PCR3	MP_E1840_DY2306_PCR1	MP_E1840_DY2306_PCR2	MP_E1840_DY2306_PCR3	MP_E1841_DY2306_PCR1	MP_E1841_DY2306_PCR2	MP_E1841_DY2306_PCR3	MP_E1842_DY2306_PCR1	MP_E1842_DY2306_PCR2	MP_E1842_DY2306_PCR3	MP_E1877_SKQ23_12S	MP_E1878_SKQ23_12S	MP_E1879_SKQ23_12S	MP_E1880_SKQ23_12S	MP_E1881_SKQ23_12S	MP_E1882_SKQ23_12S	MP_E1883_SKQ23_12S	MP_E1884_SKQ23_12S	MP_E1885_SKQ23_12S	MP_E1886_SKQ23_12S	MP_E1887_SKQ23_12S	MP_E1888_SKQ23_12S	MP_E1889_SKQ23_12S	MP_E1890_SKQ23_12S	MP_E1891_SKQ23_12S	MP_E1892_SKQ23_12S	MP_E1893_SKQ23_12S	MP_E1894_SKQ23_12S	MP_E1895_SKQ23_12S	MP_E1896_SKQ23_12S	MP_E1897_SKQ23_12S	MP_E1898_SKQ23_12S	MP_E1899_SKQ23_12S	MP_E1900_SKQ23_12S	MP_E1901_SKQ23_12S	MP_E1902_SKQ23_12S	MP_E1903_SKQ23_12S	MP_E1904_SKQ23_12S	MP_E1905_SKQ23_12S	MP_E1906_SKQ23_12S	MP_E1907_SKQ23_12S	MP_E1908_SKQ23_12S	MP_E1909_SKQ23_12S	MP_E1910_SKQ23_12S	MP_E1911_SKQ23_12S	MP_E1912_SKQ23_12S	MP_E1913_SKQ23_12S	MP_E1914_SKQ23_12S	MP_E1915_SKQ23_12S	MP_E1916_SKQ23_12S	MP_E1917_SKQ23_12S	MP_E1918_SKQ23_12S	MP_E1919_SKQ23_12S	MP_E1920_SKQ23_12S	MP_E1921_SKQ23_12S	MP_E1922_SKQ23_12S	MP_E1923_SKQ23_12S	MP_E1924_SKQ23_12S	MP_E1925_SKQ23_12S	MP_E1926_SKQ23_12S	MP_E1927_SKQ23_12S	MP_E1928_SKQ23_12S	MP_E1929_SKQ23_12S	MP_E1930_SKQ23_12S	MP_E1931_SKQ23_12S	MP_E1932_SKQ23_12S	MP_E1933_SKQ23_12S	MP_E1934_SKQ23_12S	MP_E1935_SKQ23_12S	MP_E1936_SKQ23_12S	MP_E1937_SKQ23_12S	MP_E1938_SKQ23_12S	MP_E1939_SKQ23_12S	MP_E1940_SKQ23_12S	MP_E1941_SKQ23_12S	MP_E1942_SKQ23_12S	MP_E1943_SKQ23_12S	MP_E1944_SKQ23_12S	MP_E1945_SKQ23_12S	MP_E1946_SKQ23_12S	MP_E1947_SKQ23_12S	MP_E1948_SKQ23_12S	MP_E1949_SKQ23_12S	MP_E1950_SKQ23_12S	MP_E1951_SKQ23_12S	MP_E1952_SKQ23_12S	MP_E1953_SKQ23_12S	MP_E1954_SKQ23_12S	MP_E1955_SKQ23_12S	MP_E1956_SKQ23_12S	MP_E1957_SKQ23_12S	MP_E1958_SKQ23_12S	MP_E1959_SKQ23_12S	MP_E1960_SKQ23_12S	MP_E1961_SKQ23_12S	MP_E1962_SKQ23_12S	MP_E1963_SKQ23_12S	MP_E1964_SKQ23_12S	MP_E1965_SKQ23_12S	MP_E1966_SKQ23_12S	MP_E1967_SKQ23_12S	MP_E1968_SKQ23_12S	MP_E1969_SKQ23_12S	MP_E1970_SKQ23_12S	MP_E1971_SKQ23_12S	MP_E1972_SKQ23_12S	MP_E1973_SKQ23_12S	MP_E1974_SKQ23_12S	MP_E1975_SKQ23_12S	MP_E1976_SKQ23_12S	MP_E1977_SKQ23_12S	MP_E1978_SKQ23_12S	MP_E1979_SKQ23_12S	MP_E1980_SKQ23_12S	MP_E1981_SKQ23_12S	MP_E1982_SKQ23_12S	MP_E1983_SKQ23_12S	MP_E1984_SKQ23_12S	MP_E1985_SKQ23_12S	MP_E1986_SKQ23_12S	MP_E1987_SKQ23_12S	MP_E1988_SKQ23_12S	MP_E1989_SKQ23_12S	MP_E1990_SKQ23_12S	MP_E1991_SKQ23_12S	MP_E1992_SKQ23_12S	MP_E1993_SKQ23_12S	MP_E1994_SKQ23_12S	MP_E1995_SKQ23_12S	MP_E1996_SKQ23_12S	MP_E1997_SKQ23_12S	MP_E1998_SKQ23_12S	MP_E1999_SKQ23_12S	MP_E2000_SKQ23_12S	MP_E2001_SKQ23_12S	MP_E2002_SKQ23_12S	MP_E2003_SKQ23_12S	MP_E2004_SKQ23_12S	MP_E2005_SKQ23_12S	MP_E2006_SKQ23_12S	MP_E2007_SKQ23_12S	MP_E2008_SKQ23_12S	MP_E2009_SKQ23_12S	MP_E2010_SKQ23_12S	MP_E2011_SKQ23_12S	MP_E2012_SKQ23_12S	MP_E2013_SKQ23_12S	MP_E2014_SKQ23_12S	MP_E2015_SKQ23_12S	MP_E2016_SKQ23_12S	MP_E2017_SKQ23_12S	MP_E2018_SKQ23_12S	MP_E2019_SKQ23_12S	MP_E2020_SKQ23_12S	MP_E2021_SKQ23_12S	MP_E2022_SKQ23_12S	MP_E2023_SKQ23_12S	MP_E2024_SKQ23_12S	MP_E2025_SKQ23_12S	MP_E2026_SKQ23_12S
ASV_10212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1022	0	1	6	3	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	22	0	0	0	8	0	0	2	1	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	3	0	0	0	0	0	0	0	2	0	48	28	22	14	444	0	32	10	0	65	2	28	208	35	39	0	4	1	0	38	1	5	2	57	7	0	0	0	0	0	14	8	0	4	0	0	0	0	0	0	0	0	29	4	0	0	0	1	8	0	0	2	0	0	0	0	1	0	0	0	0	0	0	171	0	0	3	0	0	31	0	0	0	0	0	0	0	0	3	0	0	77	1	14	48	0	0	4	0	0	30	0	0	49	0	0	9	0	0	0	0	0	0	0	52	0	16	5	0	0	149	0	0	2	0	0	0	0	0	24	0	2	0	0	8	0	0	0	0	0	0	63	0	0	0	5	0	0	0	0	0	0	0	39	10	65	0	0	4	2	0	0	0	1	0	39	2	4	0	68	0	120	0	0	0	0	0	0	12	1	1	0	2	0	0	0	86
ASV_10221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10226	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	21	106	33	75	1171	31	0	0	40	0	0	0	0	25	0	0	22	63	1	226	1	52	125	0	33	13	0	1	329	1	36	16	30	85	0	5	0	0	416	1	0	0	8	1	0	1	4	0	0	0	0	0	7	1	5	3	0	0	42	0	25	121	3	20	18	2	34	10	0	0	0	0	5	0	201	53	11	4	3	0	0	0	0	21	0	0	17	0	0	114	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	98	21	38	29	247	0	90	60	95	9	34	23	49	111	7	149	0	0	0	0	1	0	0	0	102	0	0	0	11	0	0	0	0	0	17	1	18	0	1	0	0	8	52	0	100	0	228	134	17	56	13	18	4	38	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	21	5	4	0	10	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	3	0	53	517	263	0	2	194	0	2	0	0	1	0	1	31	1	0	0	6	3	0	13	0	1	0	0	0	0	3	80	0	3
ASV_10227	5	6	72	59	0	0	35	480	0	3	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	29	0	0	0	0	0	5	0	0	102	19	17	20	0	31	94	92	305	19	15	26	40	86	3	21	0	47	248	2	0	34	1	571	237	136	48	182	617	104	14	0	2	25	146	652	4	3	2	328	39	0	289	0	9	19	3	116	17	0	0	0	5	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	10	116	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	0	3	0	0	0	0	0	2	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10233	0	0	6	0	0	7	0	12	0	691	467	116	0	299	920	0	1155	95	0	2	7	0	87	1460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2	0	9	0	0	353	48	0	4	0	0	0	1	58	0	2	0	0	0	163	44	0	656	1864	378	1360	0	577	192	498	319	160	479	542	202	189	18	1147	68	1600	524	215	151	406	173	449	126	343	120	228	20	7	0	7	0	510	0	34	4	25	21	145	0	15	15	0	0	0	83	0	118	40	116	12	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	57	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	85	0	21	0	30	0	0	0	17	0	110	77	15	9	49	12	0	0	21	3	0	150	61	48	59	10	21	0	1	1	10	25	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	56	0	0	0	0	4	82	0	0	1	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	161	0	279	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	1	0	101	78	12	141	273	0	118	446	0	155	0	1629	5	9	0	882	519	77	0	16	28	0	401	227	266	46	41	0	55	20	0	35	37
ASV_10237	14	0	0	2	1	4	0	8	0	0	0	2	0	2	0	28	1127	700	2	976	728	1	5227	440	20	32	1547	0	89	3	0	15	119	3	0	41	4	12	9	2	103	2	0	101	0	1	39	1	1334	2691	506	2709	387	293	2147	0	1	1379	2896	0	2	1	8	0	162	98	0	19	67	19	32	14	0	0	13	35	618	87	0	0	39	0	31	0	119	19	0	4	0	0	1	0	3	1456	238	213	3370	877	135	803	410	3332	1393	272	4631	524	518	184	214	117	959	349	563	1722	1849	1622	938	0	92	313	313	535	1314	1494	305	443	608	216	569	594	723	190	482	398	917	885	501	1240	922	640	1634	992	2100	773	561	745	1140	2556	704	758	1771	779	999	2360	495	1011	869	787	741	624	517	284	517	9	104	0	0	1	0	0	0	0	0	17	52	40	0	1	0	0	0	0	0	0	0	100	1	0	128	41	63	73	151	150	660	452	499	992	221	1530	0	1388	1902	853	1196	1955	2524	1980	1332	713	796	1218	0	11	0	302	0	0	2	0	1	0	6	5	1	0	0	0	36	0	7	136	90	4	24	22	283	91	238	882	1225	1185	575	785	128	85	232	89	126	387	3198	8089	14760	4263	7063	17498	278	36	25265	678	8238	26459	422	267	17560	66	7	8765	22	35	8123	32	507	2166	2	929	5856	0	250	3592	371	1512	6385	1	3	6	893	23277	27	7	2228	0	32	8110	0	2	663	0	0	0	1	7	0	43	0	336	92	745	341	7165	44	24593	460	908	14634	0	14353	0	17481	10	58	1	3	0	16	257	0	8	10	136	981	624	38	521	0	48	197	110	806	0	473	48	154	1305	209	2642	5614	0	9039	2264	7745	28	16	105	19	39	1870	22	10	5345	37	354
