x	MP_E1032_OC0821_PCR1	MP_E1032_OC0821_PCR2	MP_E1032_OC0821_PCR3	MP_E1033_OC0821_PCR1	MP_E1033_OC0821_PCR2	MP_E1033_OC0821_PCR3	MP_E1034_OC0821_PCR1	MP_E1034_OC0821_PCR2	MP_E1034_OC0821_PCR3	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_E1172_OC0622	MP_E1173_OC0622	MP_E1174_OC0622	MP_E1229_OC0822_PCR1	MP_E1229_OC0822_PCR2	MP_E1229_OC0822_PCR3	MP_E1230_OC0822_PCR1	MP_E1230_OC0822_PCR2	MP_E1230_OC0822_PCR3	MP_E1231_OC0822_PCR1	MP_E1231_OC0822_PCR2	MP_E1231_OC0822_PCR3	MP_E1240_OC0922	MP_E1241_OC0922	MP_E1242_OC0922	MP_E1243_OC0922	MP_E1244_OC0922	MP_E1245_OC0922	MP_E1246_OC0922	MP_E1247_OC0922	MP_E1248_OC0922	MP_E1249_OC0922	MP_E1250_OC0922	MP_E1251_OC0922	MP_E1252_OC0922	MP_E1253_OC0922	MP_E1254_OC0922	MP_E1255_OC0922	MP_E1256_OC0922	MP_E1257_OC0922	MP_E1258_OC0922	MP_E1259_OC0922	MP_E1260_OC0922	MP_E1261_OC0922	MP_E1262_OC0922	MP_E1263_OC0922	MP_E1265_OC0922_PCR1	MP_E1265_OC0922_PCR2	MP_E1265_OC0922_PCR3	MP_E1266_OC0922_PCR1	MP_E1266_OC0922_PCR2	MP_E1266_OC0922_PCR3	MP_E1267_OC0922_PCR1	MP_E1267_OC0922_PCR2	MP_E1267_OC0922_PCR3	MP_E1275_OC1021	MP_E1276_OC1021	MP_E1277_OC1021	MP_E1278_OC1021	MP_E1279_OC1021	MP_E1280_OC1021	MP_E1281_OC1021	MP_E1282_OC1021	MP_E1283_OC1021	MP_E1284_OC1021	MP_E1285_OC1021	MP_E1286_OC1021	MP_E1287_OC1021	MP_E1288_OC1021	MP_E1289_OC1021	MP_E1290_OC1021	MP_E1291_OC1021	MP_E1292_OC1021	MP_E1293_OC1021	MP_E1294_OC1021	MP_E1295_OC1021	MP_E1296_OC1021	MP_E1297_OC1021	MP_E1298_OC1021	MP_E1299_OC1021	MP_E1300_OC1021	MP_E1301_OC1021	MP_E1302_OC1021	MP_E1303_OC1021	MP_E1304_OC1021	MP_E1305_OC1021	MP_E1306_OC1021	MP_E1307_OC1021	MP_E1308_OC1021	MP_E1309_OC1021	MP_E1310_OC1021	MP_E1312_OC1021	MP_E1313_OC1021	MP_E1315_OC1021	MP_E1316_OC1021	MP_E1317_OC1021	MP_E1318_OC1021	MP_E1319_OC1021	MP_E1320_OC1021	MP_E1321_OC1021	MP_E1322_OC1021	MP_E1323_OC1021_PCR1	MP_E1323_OC1021_PCR2	MP_E1323_OC1021_PCR3	MP_E1324_OC1021_PCR1	MP_E1324_OC1021_PCR2	MP_E1324_OC1021_PCR3	MP_E1325_OC1021_PCR1	MP_E1325_OC1021_PCR2	MP_E1325_OC1021_PCR3	MP_E1389_OC0722	MP_E1390_OC0722	MP_E1391_OC0722	MP_E1403_OC0722	MP_E1404_OC0722	MP_E1406_OC0722	MP_E1408_OC0722	MP_E1410_OC0722	MP_E1412_OC0722	MP_E1414_OC0722	MP_E1416_OC0722	MP_E1418_OC0722	MP_E1420_OC0722	MP_E1422_OC0722	MP_E1424_OC0722	MP_E1426_OC0722	MP_E1845_OC0623	MP_E1846_OC0623	MP_E1847_OC0623	MP_E1849_OC0723	MP_E1850_OC0723	MP_E1851_OC0723	MP_E1852_OC0723	MP_E1853_OC0723	MP_E1854_OC0723	MP_E1855_OC0723	MP_E1856_OC0723	MP_E1857_OC0723	MP_E1858_OC0723	MP_E1859_OC0723	MP_E1860_OC0723	MP_E1861_OC0723	MP_E1862_OC0723	MP_E1863_OC0723	MP_E1864_OC0723	MP_E1865_OC0723	MP_E1866_OC0723	MP_E1867_OC0723	MP_E1868_OC0723	MP_E1869_OC0723	MP_E1870_OC0723	MP_E1871_OC0723	MP_E1872_OC0723	MP_E1873_OC0723	MP_E1874_OC0723	MP_E1875_OC0723	MP_E2128_1B	MP_E2128_2B	MP_E2128_4B	MP_E2129_1B	MP_E2129_2B	MP_E2129_3B	MP_E2129_4B	MP_E2129_5B	MP_E2130_1B	MP_E2130_2B	MP_E2130_3B	MP_E2130_4B	MP_E2130_5B	MP_E2131_1B	MP_E2131_2B	MP_E2131_3B	MP_E2131_4B	MP_E2131_5B	MP_E2132_1B	MP_E2132_2B	MP_E2132_3B	MP_E2132_4B	MP_E2132_5B	MP_E2133_1B	MP_E2133_2B	MP_E2133_3B	MP_E2133_4B	MP_E2133_5B	MP_E2134_2B	MP_E2134_4B	MP_E2134_5B	MP_E2135_2B	MP_E2135_3B	MP_E2135_4B	MP_E2135_5B	MP_E2136_2B	MP_E2136_3B	MP_E2136_4B	MP_E2136_5B	MP_E2137_1B	MP_E446_1B_PCR2	MP_E446_1B_PCR3	MP_E446_2B_PCR2	MP_E446_2B_PCR3	MP_E446_3B_PCR2	MP_E446_3B_PCR3	MP_E447_1B_MiFishMod	MP_E447_1B_PCR2	MP_E447_1B_PCR3	MP_E447_2B_MiFishMod	MP_E447_2B_PCR2	MP_E447_2B_PCR3	MP_E447_3B_MiFishMod	MP_E447_3B_PCR2	MP_E447_3B_PCR3	MP_E448_1B_PCR2	MP_E448_1B_PCR3	MP_E448_2B_PCR2	MP_E448_2B_PCR3	MP_E448_3B_PCR2	MP_E448_3B_PCR3	MP_E449_1B_PCR2	MP_E449_1B_PCR3	MP_E449_2B_PCR2	MP_E449_2B_PCR3	MP_E449_3B_PCR2	MP_E449_3B_PCR3	MP_E450_1B_MiFishMod	MP_E450_1B_PCR2	MP_E450_1B_PCR3	MP_E450_2B_MiFishMod	MP_E450_2B_PCR2	MP_E450_2B_PCR3	MP_E450_3B_MiFishMod	MP_E450_3B_PCR2	MP_E450_3B_PCR3	MP_E474_MiFishMod	MP_E475_PCR2	MP_E475_PCR3	MP_E486_PCR2	MP_E486_PCR3	MP_E491_MiFishMod	MP_E492_1B_PCR2	MP_E492_1B_PCR3	MP_E494_PCR2	MP_E494_PCR3	MP_E496_1T_PCR2	MP_E496_1T_PCR3	MP_E496_3B_PCR2	MP_E496_3B_PCR3	MP_E498_1B_PCR2	MP_E498_1B_PCR3	MP_E498_2B_PCR2	MP_E498_2B_PCR3	MP_E498_3B_PCR2	MP_E498_3B_PCR3	MP_E573_1B_PCR2	MP_E573_1B_PCR3	MP_E573_2B_PCR2	MP_E573_2B_PCR3	MP_E573_3B_PCR2	MP_E573_3B_PCR3	MP_E574_1B_PCR2	MP_E574_1B_PCR3	MP_E574_2B_PCR2	MP_E574_2B_PCR3	MP_E574_3B_PCR2	MP_E574_3B_PCR3	MP_E575_1B_PCR2	MP_E575_1B_PCR3	MP_E575_2B_PCR2	MP_E575_2B_PCR3	MP_E575_3B_PCR2	MP_E575_3B_PCR3	MP_E598_1B_PCR2	MP_E598_1B_PCR3	MP_E598_2B_PCR2	MP_E598_2B_PCR3	MP_E598_3B_PCR2	MP_E598_3B_PCR3	MP_E600_1B_PCR2	MP_E600_1B_PCR3	MP_E600_2B_PCR2	MP_E600_2B_PCR3	MP_E600_3B_PCR2	MP_E600_3B_PCR3	MP_E610_NC	MP_E690_MiFishMod	MP_POSITIVE
ASV_10092	0	0	0	0	0	0	0	0	0	0	0	11	0	83	177	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	45	180	474	6	439	54	4	2	14	680	424	5	0	17	0	0	135	112	0	3	654	0	25	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	79	0	0	0	0	0	2	4	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	13	0	0	0	46	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	36	27	11	13	0	0	0	21	3	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	14	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	117	16	19	100	30	52	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
ASV_10093	0	0	1	262	0	0	9	30	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	53	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	4	0	0	2	22	0	680	0	0	0	0	0	0	0	67	26	0	3	48	188	24	2	0	3	83	0	18	2	74	44	575	0	0	1	0	71	58	204	0	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	90	16	68	3	0	0	5	28	0	0	0	52	0	0	0	0	0	0	0	0	0	7	0	16	0	2	0	0	0	35	44	70	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	21	3	197	0	0	0	14	0	76	0	0	0	0	0	0	0	3	0	16	0	0	0	0	0	86	131	2	0	4	6	12	3	76	115	304	4	8	0	2	8	3	0	0	19	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	22	62	11	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	21	14	122	62	128	179	0	0	0	0	0	0	0	0	0	0	48	4	38	70	30	2	10	19	5	4	13	0	0	0	0	0	0	0	113	25	0	7	33	53	0	0	0	0	0	0	0	0	0
ASV_10094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10096	0	0	0	0	0	0	0	0	0	71	172	1194	245	125	0	15	258	232	21	0	1766	5	82	2987	3	546	1505	0	0	703	89	51	474	606	1692	127	20	164	1	59	113	15	56	1262	17	72	372	1611	2386	524	70	158	434	1104	390	1351	18	9	96	0	0	8	2	0	0	0	124	0	12	226	46	0	268	655	25	566	748	75	117	793	18	1735	2315	1803	1340	155	273	2826	324	549	165	163	8	6	0	82	95	9	871	1712	518	583	81	6	53	34	5	1	3	29	52	0	2545	2508	1650	0	6	6	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	108	44	79	0	2	0	312	159	332	0	0	14	34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	1	24	52	69	0	2	43	0	96	4	3	12	22	0	0	3	2	0	158	7	0	0	0	0	1	0	98	0	0	191	0	0	0	0	17	0	0	0	0	0	0	0	5	5	0	0	3	0	0	0	0	0	2	0	11	10	5	311	0	295	1	509	112	9	148	0	7	135	6	0	105	111	0	17	0	90	5	95	95	0	0	412	0	0	17	0	0	51	8	1	24	4	20	5	17	1	0	0	0	0	28	8	0	4	1	2	0	8	6	13	0	6	3	4	0	20	4	4	50	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	82	47	27	10	73	0	0	0	34	0	0	0	0	0	0	0	0	0	0	21	13	2	0	0	0	2	0	4	0	19	57	48	25	19	8	0	0	0
ASV_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1373	0	0	0	0	3396	0	0	0	0	0	0	75	17144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1932	10432	1366	1	0	0	4077	1229	0	0	0	0	1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5663	0	0	4018	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1358	0	0	0	0	0	0	0	0	0	0	1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	10	0	28	17	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	604	0	0	0	0	0	0	0	0	7	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10105	0	181	0	0	3	38	0	0	0	0	21	0	0	101	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	9	0	0	0	0	0	0	25	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	53	0	0	0	0	0	0	7	0	0	42	0	243	7	0	3	21	0	1	3	22	1	44	0	0	0	0	0	0	110	159	0	0	3	5	0	3	4	17	0	4	24	0	0	0	28	1	0	0	103	0	0	0	0	0	0	0	113	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	17	405	3	0	0	1	137	19	48	150	0	0	0	0	13	0	0	3	70	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	37	0	48	1	0	0	0	2	12	143	35	0	26	97	42	25	0	0	0	0	21	28	2	79	0	5	13	0	14	0	0	7	112	14	6	10	0	45	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	19	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1139	0	737	2066	48	0	0	0	0
ASV_10110	0	12	0	0	0	0	0	0	0	786	1623	1	171	172	0	262	68	356	165	1070	10	368	1677	47	212	1213	2	669	805	0	864	1108	0	193	43	62	223	0	518	182	0	97	34	0	848	257	499	172	975	17	2540	1595	14	614	565	883	0	29	0	107	921	61	26	47	1	14	5	1	725	8	0	69	0	6	621	0	1	285	1	2	47	4	0	1613	0	138	16	0	0	33	326	5	0	28	0	4	0	12	21	0	552	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	30	0	108	2	8	2	0	0	0	0	0	8	9	22	5	57	0	0	0	0	3	40	0	0	0	0	162	0	0	0	94	0	0	1	32	0	10	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	73	0	226	0	0	223	0	347	23	0	3	363	0	0	379	147	0	0	82	13	0	0	0	0	19	0	0	15	0	0	5	0	1	0	0	0	0	0	0	0	2	0	10	0	23	0	16	7	9	14	16	1	2	3	11	340	0	0	0	101	0	110	0	0	147	14	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	0	0	0	95	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	19	0	4	53	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	8	0	0	0	0	0	0	0	0	0
