"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cast","Bottle","Field_collection_method","Preservation","Area.within.region","Station","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC","Date_local","oxy_concM_ch1","oxy_percentsat_ch1","oxy_conc_ch1","oxy_concM_ch2","oxy_percentsat_ch2","oxy_conc_ch2","salinity_ch1","salinity_ch2","sigma_t_ch1","sigma_t_ch2","chlor_fluorescence","temperature_ch1","temperature_ch2","turbidity","pressure","latitude","longitude","time","profile_id","holder1"
"E1062.SKQ2021",1,1,FALSE,"SKQ2021","4","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.3",1000,"Matt Galaska",NA,2021-11-10 07:19:00,"2021-11-09 22:19:00","6.5923","80.094","287.008",NA,NA,NA,"32.1225","32.1166",25.7951,25.7904,"0.1112","-0.2657","-0.2677",NA,"43.344","71.45433333333334","-161.03933333333333","2021-11-10T07:21:59Z","SKQ202115Sc004_btl","004_btl"
"E1063.SKQ2021",1,1,FALSE,"SKQ2021","4","5","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.3",1000,"Matt Galaska",NA,2021-11-10 07:19:00,"2021-11-09 22:19:00","6.6121","80.373","287.873",NA,NA,NA,"32.1213","32.1167",25.7934,25.7897,"0.1112","-0.2475","-0.2486",NA,"30.407","71.45433333333334","-161.03933333333333","2021-11-10T07:21:59Z","SKQ202115Sc004_btl","004_btl"
"E1064.SKQ2021",1,1,FALSE,"SKQ2021","4","11","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.3",1000,"Matt Galaska",NA,2021-11-10 07:19:00,"2021-11-09 22:19:00","8.2945","96.567","361.495",NA,NA,NA,"30.7504","30.7382",24.7212,24.7117,"0.1095","-1.4981","-1.5196",NA,"10.307","71.45433333333334","-161.03933333333333","2021-11-10T07:21:59Z","SKQ202115Sc004_btl","004_btl"
"E1065.SKQ2021",1,1,FALSE,"SKQ2021","5","3","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.4",1000,"Matt Galaska",NA,2021-11-10 10:26:00,"2021-11-10 01:26:00","5.3715","63.395","233.729",NA,NA,NA,"32.7823","32.7781",26.3714,26.3681,"0.1192","-1.5283","-1.5293",NA,"43.311","71.589","-161.4065","2021-11-10T10:27:49Z","SKQ202115Sc005_btl","005_btl"
"E1066.SKQ2021",1,1,FALSE,"SKQ2021","5","5","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.4",1000,"Matt Galaska",NA,2021-11-10 10:26:00,"2021-11-10 01:26:00","5.9107","69.945","257.228",NA,NA,NA,"32.6031","32.5983",26.2221,26.2183,"0.0808","-1.3818","-1.3815",NA,"30.379","71.589","-161.4065","2021-11-10T10:27:49Z","SKQ202115Sc005_btl","005_btl"
"E1067.SKQ2021",1,1,FALSE,"SKQ2021","5","11","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO4.4",1000,"Matt Galaska",NA,2021-11-10 10:26:00,"2021-11-10 01:26:00","8.2295","95.335","358.677",NA,NA,NA,"30.6967","30.6906",24.6806,24.6757,"0.0831","-1.667","-1.6681",NA,"10.315","71.589","-161.4065","2021-11-10T10:27:49Z","SKQ202115Sc005_btl","005_btl"
"E1068.SKQ2021",1,1,FALSE,"SKQ2021","6","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","CEO",1000,"Matt Galaska",NA,2021-11-10 12:18:00,"2021-11-10 03:18:00","5.4109","63.873","235.443",NA,NA,NA,"32.7704","32.7643",26.3615,26.3566,"0.1376","-1.5172","-1.5181",NA,"42.303","71.59116666666667","-161.523","2021-11-10T12:13:45Z","SKQ202115Sc006_btl","006_btl"
"E1069.SKQ2021",1,1,FALSE,"SKQ2021","6","8","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","CEO",1000,"Matt Galaska",NA,2021-11-10 12:18:00,"2021-11-10 03:18:00","6.0822","71.971","264.696",NA,NA,NA,"32.5841","32.5797",26.2066,26.2031,"0.1444","-1.3787","-1.3793",NA,"30.186","71.59116666666667","-161.523","2021-11-10T12:13:45Z","SKQ202115Sc006_btl","006_btl"
"E1070.SKQ2021",1,1,FALSE,"SKQ2021","6","14","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","CEO",1000,"Matt Galaska",NA,2021-11-10 12:18:00,"2021-11-10 03:18:00","7.9022","91.498","344.434",NA,NA,NA,"30.615","30.6103",24.6142,24.6104,"0.1215","-1.6639","-1.6649",NA,"10.203","71.59116666666667","-161.523","2021-11-10T12:13:45Z","SKQ202115Sc006_btl","006_btl"
"E1071.SKQ2021",1,1,FALSE,"SKQ2021","7","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Arctic Ocean","DBO4.5",1000,"Matt Galaska",NA,2021-11-10 14:34:00,"2021-11-10 05:34:00","5.2381","61.704","227.912",NA,NA,NA,"32.8329","32.8259",26.4146,26.4089,"0.2247","-1.6106","-1.6116",NA,"39.34","71.71916666666667","-161.77433333333335","2021-11-10T14:33:01Z","SKQ202115Sc007_btl","007_btl"
"E1072.SKQ2021",1,1,FALSE,"SKQ2021","7","5","Niskin; Sterivex 0.22µm filter","95% EtOH","Arctic Ocean","DBO4.5",1000,"Matt Galaska",NA,2021-11-10 14:34:00,"2021-11-10 05:34:00","5.2885","62.293","230.108",NA,NA,NA,"32.8233","32.8179",26.4068,26.4025,"0.2373","-1.6117","-1.6128",NA,"30.031","71.71916666666667","-161.77433333333335","2021-11-10T14:33:01Z","SKQ202115Sc007_btl","007_btl"
"E1073.SKQ2021",1,1,FALSE,"SKQ2021","7","11","Niskin; Sterivex 0.22µm filter","95% EtOH","Arctic Ocean","DBO4.5",1000,"Matt Galaska",NA,2021-11-10 14:34:00,"2021-11-10 05:34:00","8.0945","93.567","352.882",NA,NA,NA,"30.3778","30.3724",24.4216,24.4172,"0.1485","-1.6638","-1.6647",NA,"9.983","71.71916666666667","-161.77433333333335","2021-11-10T14:33:01Z","SKQ202115Sc007_btl","007_btl"
"E1074.SKQ2021",1,1,FALSE,"SKQ2021","8","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Arctic Ocean","DBO4.6",1000,"Matt Galaska",NA,2021-11-10 18:39:00,"2021-11-10 09:39:00","5.3422","62.932","232.452",NA,NA,NA,"32.781","32.7751",26.3721,26.3673,"0.2499","-1.5963","-1.5971",NA,"37.154","71.85066666666667","-162.16983333333334","2021-11-10T18:39:00Z","SKQ202115Sc008_btl","008_btl"
"E1075.SKQ2021",1,1,FALSE,"SKQ2021","8","5","Niskin; Sterivex 0.22µm filter","95% EtOH","Arctic Ocean","DBO4.6",1000,"Matt Galaska",NA,2021-11-10 18:39:00,"2021-11-10 09:39:00","5.6206","66.16","244.624",NA,NA,NA,"32.4955","32.4906",26.1391,26.1351,"0.1932","-1.5504","-1.5512",NA,"30.592","71.85066666666667","-162.16983333333334","2021-11-10T18:39:00Z","SKQ202115Sc008_btl","008_btl"
"E1076.SKQ2021",1,1,FALSE,"SKQ2021","8","11","Niskin; Sterivex 0.22µm filter","95% EtOH","Arctic Ocean","DBO4.6",1000,"Matt Galaska",NA,2021-11-10 18:39:00,"2021-11-10 09:39:00","8.1148","93.859","353.73",NA,NA,NA,"30.5039","30.4981",24.5241,24.5194,"0.0831","-1.6738","-1.6747",NA,"10.411","71.85066666666667","-162.16983333333334","2021-11-10T18:39:00Z","SKQ202115Sc008_btl","008_btl"
"E1077.SKQ2021",1,1,FALSE,"SKQ2021","9","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","C2",1000,"Matt Galaska",NA,2021-11-11 05:10:00,"2021-11-10 20:10:00","6.502","79.736","283.195",NA,NA,NA,"31.6242","31.6138",25.3717,25.3636,"0.1393","0.2211","0.2159",NA,"40.265","71.21833333333333","-164.24283333333332","2021-11-11T05:08:13Z","SKQ202115Sc009_btl","009_btl"
"E1078.SKQ2021",1,1,FALSE,"SKQ2021","9","5","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","C2",1000,"Matt Galaska",NA,2021-11-11 05:10:00,"2021-11-10 20:10:00","7.5822","91.506","330.343",NA,NA,NA,"31.2196","31.2154",25.0664,25.063,"0.1192","-0.2795","-0.2798",NA,"30.339","71.21833333333333","-164.24283333333332","2021-11-11T05:08:13Z","SKQ202115Sc009_btl","009_btl"
"E1079.SKQ2021",1,1,FALSE,"SKQ2021","9","11","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","C2",1000,"Matt Galaska",NA,2021-11-11 05:10:00,"2021-11-10 20:10:00","7.7277","92.732","336.708",NA,NA,NA,"31.1133","31.1091",24.9873,24.9839,"0.1485","-0.4661","-0.4665",NA,"10.227","71.21833333333333","-164.24283333333332","2021-11-11T05:08:13Z","SKQ202115Sc009_btl","009_btl"
"E1080.SKQ2021",1,1,FALSE,"SKQ2021","10","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.1",1000,"Matt Galaska",NA,2021-11-12 01:21:00,"2021-11-11 16:21:00","7.8832","94.297","343.546",NA,NA,NA,"30.8719","30.8662",24.7941,24.7896,"0.505","-0.5221","-0.5222",NA,"30.03","68.304","-166.92883333333333","2021-11-12T01:18:18Z","SKQ202115Sc010_btl","010_btl"
"E1081.SKQ2021",1,1,FALSE,"SKQ2021","10","6","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.1",1000,"Matt Galaska",NA,2021-11-12 01:21:00,"2021-11-11 16:21:00","8.3482","96.307","364.122",NA,NA,NA,"29.7578","29.743",23.9169,23.9051,"0.4551","-1.575","-1.5887",NA,"10.204","68.304","-166.92883333333333","2021-11-12T01:18:18Z","SKQ202115Sc010_btl","010_btl"
"E1082.SKQ2021",1,1,FALSE,"SKQ2021","11","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Arctic Ocean","DBO3.2",1000,"Matt Galaska",NA,2021-11-12 03:15:00,"2021-11-11 18:15:00","7.4672","92.966","325.237",NA,NA,NA,"31.6493","31.6409",25.3632,25.3565,"0.2831","0.7942","0.7933",NA,"38.407","68.24933333333334","-167.12333333333333","2021-11-12T03:14:11Z","SKQ202115Sc011_btl","011_btl"
"E1083.SKQ2021",1,1,FALSE,"SKQ2021","11","5","Niskin; Sterivex 0.22µm filter","95% EtOH","Arctic Ocean","DBO3.2",1000,"Matt Galaska",NA,2021-11-12 03:15:00,"2021-11-11 18:15:00","7.4553","92.823","324.717",NA,NA,NA,"31.6457","31.6389",25.3601,25.3546,"0.2562","0.7978","0.7971",NA,"30.655","68.24933333333334","-167.12333333333333","2021-11-12T03:14:11Z","SKQ202115Sc011_btl","011_btl"
"E1084.SKQ2021",1,1,FALSE,"SKQ2021","11","11","Niskin; Sterivex 0.22µm filter","95% EtOH","Arctic Ocean","DBO3.2",1000,"Matt Galaska",NA,2021-11-12 03:15:00,"2021-11-11 18:15:00","8.4031","96.745","366.54",NA,NA,NA,"29.6759","29.6651",23.8512,23.8424,"0.3634","-1.6278","-1.6288",NA,"9.924","68.24933333333334","-167.12333333333333","2021-11-12T03:14:11Z","SKQ202115Sc011_btl","011_btl"
"E1085.SKQ2021",1,1,FALSE,"SKQ2021","13","4","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.3",1000,"Matt Galaska",NA,2021-11-12 05:26:00,"2021-11-11 20:26:00","7.1307","88.956","310.541",NA,NA,NA,"31.82","31.8181",25.4986,25.4972,"0.2562","0.8264","0.8245",NA,"43.143","68.1905","-167.29133333333334","2021-11-12T05:25:50Z","SKQ202115Sc013_btl","013_btl"
"E1086.SKQ2021",1,1,FALSE,"SKQ2021","13","8","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.3",1000,"Matt Galaska",NA,2021-11-12 05:26:00,"2021-11-11 20:26:00","7.1118","88.757","309.717",NA,NA,NA,"31.8092","31.8061",25.4889,25.4864,"0.298","0.8458","0.8453",NA,"30.067","68.1905","-167.29133333333334","2021-11-12T05:25:50Z","SKQ202115Sc013_btl","013_btl"
"E1087.SKQ2021",1,1,FALSE,"SKQ2021","13","16","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.3",1000,"Matt Galaska",NA,2021-11-12 05:26:00,"2021-11-11 20:26:00","8.3808","96.604","365.538",NA,NA,NA,"29.7753","29.7697",23.9315,23.927,"0.2625","-1.6097","-1.6105",NA,"9.651","68.1905","-167.29133333333334","2021-11-12T05:25:50Z","SKQ202115Sc013_btl","013_btl"
"E1088.SKQ2021",1,1,FALSE,"SKQ2021","14","4","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.4",1000,"Matt Galaska",NA,NA,NA,"6.6151","83.355","288.07",NA,NA,NA,"31.9174","31.9112",25.556,25.5511,"0.2613","1.1886","1.1873",NA,"45.233","68.1325","-167.48783333333333","2021-11-12T07:05:36Z","SKQ202115Sc014_btl","014_btl"
"E1089.SKQ2021",1,1,FALSE,"SKQ2021","14","12","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.4",1000,"Matt Galaska",NA,NA,NA,"6.6162","83.372","288.117",NA,NA,NA,"31.9147","31.9097",25.5536,25.5497,"0.2482","1.1914","1.1901",NA,"30.405","68.1325","-167.48783333333333","2021-11-12T07:05:36Z","SKQ202115Sc014_btl","014_btl"
"E1090.SKQ2021",1,1,FALSE,"SKQ2021","14","20","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.4",1000,"Matt Galaska",NA,NA,NA,"8.4023","96.912","366.495",NA,NA,NA,"29.7175","29.7089",23.8841,23.8773,"0.1892","-1.5721","-1.581",NA,"9.936","68.1325","-167.48783333333333","2021-11-12T07:05:36Z","SKQ202115Sc014_btl","014_btl"
"E1091.SKQ2021",1,1,FALSE,"SKQ2021","15","4","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.5",1000,"Matt Galaska",NA,2021-11-12 09:37:00,"2021-11-12 00:37:00","4.2544","51.116","185.091",NA,NA,NA,"32.9919","32.988",26.5231,26.5199,"0.3542","-0.9169","-0.9181",NA,"48.429","68.01316666666666","-167.87933333333334","2021-11-12T09:39:57Z","SKQ202115Sc015_btl","015_btl"
"E1092.SKQ2021",1,1,FALSE,"SKQ2021","15","12","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.5",1000,"Matt Galaska",NA,2021-11-12 09:37:00,"2021-11-12 00:37:00","4.2315","50.942","184.096",NA,NA,NA,"32.9813","32.9774",26.5117,26.5089,"0.3313","-0.8393","-0.8479",NA,"30.584","68.01316666666666","-167.87933333333334","2021-11-12T09:39:57Z","SKQ202115Sc015_btl","015_btl"
"E1093.SKQ2021",1,1,FALSE,"SKQ2021","15","20","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.5",1000,"Matt Galaska",NA,2021-11-12 09:37:00,"2021-11-12 00:37:00","8.1761","94.711","356.369",NA,NA,NA,"30.6313","30.6248",24.6272,24.622,"0.3324","-1.6523","-1.6541",NA,"10.211","68.01316666666666","-167.87933333333334","2021-11-12T09:39:57Z","SKQ202115Sc015_btl","015_btl"
"E1094.SKQ2021",1,1,FALSE,"SKQ2021","16","4","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.6",1000,"Matt Galaska",NA,2021-11-12 12:56:00,"2021-11-12 03:56:00","1.7926","22.212","77.994",NA,NA,NA,"32.9598","32.9519",26.4465,26.4402,"0.3376","0.2608","0.2597",NA,"52.693","67.90133333333333","-168.23633333333333","2021-11-12T12:57:06Z","SKQ202115Sc016_btl","016_btl"
"E1095.SKQ2021",1,1,FALSE,"SKQ2021","16","12","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.6",1000,"Matt Galaska",NA,2021-11-12 12:56:00,"2021-11-12 03:56:00","1.6073","20.142","69.939",NA,NA,NA,"32.8549","32.8505",26.3369,26.3333,"0.2236","0.723","0.7247",NA,"30.267","67.90133333333333","-168.23633333333333","2021-11-12T12:57:06Z","SKQ202115Sc016_btl","016_btl"
"E1096.SKQ2021",1,1,FALSE,"SKQ2021","16","20","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.6",1000,"Matt Galaska",NA,2021-11-12 12:56:00,"2021-11-12 03:56:00","8.1761","95.044","356.382",NA,NA,NA,"30.5944","30.5883",24.5949,24.5899,"0.255","-1.5132","-1.5127",NA,"10.297","67.90133333333333","-168.23633333333333","2021-11-12T12:57:06Z","SKQ202115Sc016_btl","016_btl"
"E1097.SKQ2021",1,1,FALSE,"SKQ2021","17","4","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.7",1000,"Matt Galaska",NA,2021-11-12 15:39:00,"2021-11-12 06:39:00","2.615","31.756","113.756",NA,NA,NA,"33.1592","33.1541",26.6451,26.641,"0.3066","-0.5604","-0.5615",NA,"45.086","67.783","-168.59516666666667","2021-11-12T15:38:01Z","SKQ202115Sc017_btl","017_btl"
"E1098.SKQ2021",1,1,FALSE,"SKQ2021","17","12","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.7",1000,"Matt Galaska",NA,2021-11-12 15:39:00,"2021-11-12 06:39:00","2.2799","28.647","99.204",NA,NA,NA,"32.8894","32.8862",26.3593,26.3564,"0.184","0.8178","0.8232",NA,"30.395","67.783","-168.59516666666667","2021-11-12T15:38:01Z","SKQ202115Sc017_btl","017_btl"
"E1099.SKQ2021",1,1,FALSE,"SKQ2021","17","20","Niskin; Sterivex 0.22µm filter","95% EtOH","Chukchi Sea","DBO3.7",1000,"Matt Galaska",NA,2021-11-12 15:39:00,"2021-11-12 06:39:00","7.8748","92.246","343.221",NA,NA,NA,"30.697","30.6912",24.673,24.6683,"0.3376","-1.2567","-1.2577",NA,"10.216","67.783","-168.59516666666667","2021-11-12T15:38:01Z","SKQ202115Sc017_btl","017_btl"
"MID.NC.SKQ2021",1,1,TRUE,"SKQ2021",NA,NA,"Sterivex 0.22µm filter","95% EtOH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1100.SKQ2021",1,1,FALSE,"SKQ2021","18","2","Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","M8",1000,"Matt Galaska",NA,2021-11-14 09:51:00,"2021-11-14 00:51:00","6.937","89.08","301.959",NA,NA,NA,"32.5031","32.4988",25.9879,25.9845,"0.4356","1.7712","1.7707",NA,"68.443","62.20133333333333","-174.68","2021-11-14T09:53:49Z","SKQ202115Sc018_btl","018_btl"
"E1101.SKQ2021",1,1,FALSE,"SKQ2021","18","11","Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","M8",1000,"Matt Galaska",NA,2021-11-14 09:51:00,"2021-11-14 00:51:00","7.0219","90.168","305.657",NA,NA,NA,"32.4839","32.4807",25.9722,25.969,"0.4006","1.7756","1.7844",NA,"30.806","62.20133333333333","-174.68","2021-11-14T09:53:49Z","SKQ202115Sc018_btl","018_btl"
"E1102.SKQ2021",1,1,FALSE,"SKQ2021","18","17","Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","M8",1000,"Matt Galaska",NA,2021-11-14 09:51:00,"2021-11-14 00:51:00","7.2551","92.324","315.821",NA,NA,NA,"32.4203","32.4168",25.9441,25.9413,"0.5766","1.4375","1.4362",NA,"10.142","62.20133333333333","-174.68","2021-11-14T09:53:49Z","SKQ202115Sc018_btl","018_btl"
"E1103.SKQ2021",1,1,FALSE,"SKQ2021","19","3","Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","DBO1.1",1000,"Matt Galaska",NA,2021-11-14 12:06:00,"2021-11-14 03:06:00","6.6439","85.994","289.161",NA,NA,NA,"32.6984","32.6952",26.1257,26.1232,"0.1938","2.031","2.0295",NA,"73.516","62.0115","-175.06016666666667","2021-11-14T12:08:40Z","SKQ202115Sc019_btl","019_btl"
"E1104.SKQ2021",1,1,FALSE,"SKQ2021","19","12","Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","DBO1.1",1000,"Matt Galaska",NA,2021-11-14 12:06:00,"2021-11-14 03:06:00","6.7777","87.778","294.995",NA,NA,NA,"32.6643","32.66",26.096,26.0929,"0.2602","2.0633","2.0595",NA,"30.066","62.0115","-175.06016666666667","2021-11-14T12:08:40Z","SKQ202115Sc019_btl","019_btl"
"E1105.SKQ2021",1,1,FALSE,"SKQ2021","19","18","Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","DBO1.1",1000,"Matt Galaska",NA,2021-11-14 12:06:00,"2021-11-14 03:06:00","6.9167","89.506","301.044",NA,NA,NA,"32.6553","32.6522",26.0909,26.0885,"0.2923","2.0344","2.0333",NA,"9.516","62.0115","-175.06016666666667","2021-11-14T12:08:40Z","SKQ202115Sc019_btl","019_btl"
"E1106.SKQ2021",1,1,FALSE,"SKQ2021","20","3","Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","DBO1.2",1000,"Matt Galaska",NA,2021-11-14 14:06:00,"2021-11-14 05:06:00","6.6699","86.147","290.284",NA,NA,NA,"32.7244","32.719",26.1532,26.149,"0.2459","1.9396","1.9381",NA,"75.439","62.048833333333334","-175.209","2021-11-14T14:08:01Z","SKQ202115Sc020_btl","020_btl"
"E1107.SKQ2021",1,1,FALSE,"SKQ2021","20","12","Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","DBO1.2",1000,"Matt Galaska",NA,2021-11-14 14:06:00,"2021-11-14 05:06:00","6.6621","86.134","289.951",NA,NA,NA,"32.7125","32.7091",26.1406,26.138,"0.2447","1.9826","1.9805",NA,"30.462","62.048833333333334","-175.209","2021-11-14T14:08:01Z","SKQ202115Sc020_btl","020_btl"
"E1108.SKQ2021",1,1,FALSE,"SKQ2021","20","18","Niskin; Sterivex 0.22µm filter","95% EtOH","Bering Sea","DBO1.2",1000,"Matt Galaska",NA,2021-11-14 14:06:00,"2021-11-14 05:06:00","6.7195","86.902","292.448",NA,NA,NA,"32.7087","32.7057",26.1365,26.1342,"0.2487","1.9962","1.9952",NA,"9.925","62.048833333333334","-175.209","2021-11-14T14:08:01Z","SKQ202115Sc020_btl","020_btl"
