Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample
E2089.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,11/14/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M14,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2090.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,12/2/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M15,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2091.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,12/11/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M16,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2092.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,12/20/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M17,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2093.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,12/29/2022,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M18,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2094.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,1/7/2023,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M19,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2095.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,1/16/2023,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M20,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2096.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,1/25/2023,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M21,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2097.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,2/3/2023,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M22,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2098.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,2/12/2023,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M23,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2099.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,2/21/2023,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M24,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2100.SKQ23-12S,1,1,FALSE,SKQ23-12S,SKQ23 EcoFOCI DBO,,3/2/2023,NA,0:12,NA,NA,NA,Aquamonitor; HgCl2,95% EtOH,NA,M25,38,71° 36.026' N,161° 29.974' W,1000,Seth Danielson and Matt Galaska
E2101.NC.SKQ23-12S,1,1,TRUE,SKQ23-12S,SKQ23 EcoFOCI DBO,,NA,NA,NA,NA,NA,NA,,95% EtOH,NA,NA,NA,NA,NA,1000,Seth Danielson and Matt Galaska
