ASV	percent	length	taxid	accession	correction
ASV_101	100	326	2805728, 1010462, 1010430	MW521834, JF488805, JF488775	326
ASV_1010	99.088	329	705413, 1760868, 1341612, 1798043, 1408142	MH732694, KY688183, HG005135, AB920349, AB698451, AB860180	325.99952
ASV_10100	97.239	326	98217	AJ246273	316.99914
ASV_1011	100	329, 301	465777	AM850219, AM850217, AM075624, LC482698	329, 301
ASV_10111	99.091	330	88552	PP905697	327.0003
ASV_10112	94.562	331	72681, 1905723	MK547121, OP750440, OP750433, Y16237	313.00022
ASV_10113	98.784	329	363325	JX473667, FJ228701, DQ317537, DQ317536	324.99936
ASV_10114	91.463	328	1656261, 1658403, 1130126	KR058213, KR058212, AB690557	299.99864
ASV_10115	91.566	332	1127218	JN811164	303.99912
ASV_10116	99.088	329	88552	MK368327	325.99952
ASV_10117	94.562	331	88552	MK368342	313.00022
ASV_10118	96.519	316	425801	EF058236	305.00004
ASV_10119	97.879	330	1923967, 420281, 216777	KX253955, EF192984, AY485525	323.0007
ASV_1012	95.395	304	2026621	MH008000	290.0008
ASV_10120	99.392	329	327389, 112456	AJ968729, AF218805	326.99968
ASV_10121	95.441	329	1982030, 160602, 106539, 160612	KY980399, ON015053, JX262492, AF274270	314.00089
ASV_10122	96.636	327	60595	OR921514	315.99972
ASV_10123	95.441	329	1524181, 1524180, 1524179, 363907, 87105	AB973538, AB973537, AB973536, DQ367047, AB022111	314.00089
ASV_10124	96.375	331	91992	KY980405	319.00125
ASV_10125	95.495	333	2555684, 420782, 2107305, 216921	LC466960, MK795713, MK795708, MG972267, MG972266, MG972265, MG972264, MG972263, KF925340, AJ535167	317.99835
ASV_10126	95.062	324	118079	JX660992, AF163147	308.00088
ASV_10127	98.176	329	89963	KY980322	322.99904
ASV_10128	93.939	330	663693, 627967, 627964, 627968	GQ354272, FJ799798, FJ799796, FJ799795	309.9987
ASV_10129	98.788	330	88552, 3128484, 1453980	MK368194, LC801622, KF791348	326.0004
ASV_1013	97.059	306	230412	MW255637	297.00054
ASV_10130	96.942	327	60595	OR921514	317.00034
ASV_10131	98.033	305	3159519, 412158, 407208	LC819365, LC819360, LC819357, LC819355	299.00065
ASV_10132	98.738	317	89963	KY980285	312.99946
ASV_10134	98.777	327	60595	OR921514	323.00079
ASV_10135	98.182	330	88552	MK368217, MK368204, MK368194	324.0006
ASV_10136	99.689	322	195504	AF508272	320.99858
ASV_10137	95.152	330	88552	MK368152	314.0016
ASV_10138	97.289	332	232288	KY980049, AJ564773	322.99948
ASV_10139	89.254	335	629764	FJ824130	299.0009
ASV_1014	92.749	331	2909459	OP445724	306.99919
ASV_10140	92.484	306	420281	FJ002201	283.00104
ASV_10141	93.939	330	629753	FJ824125	309.9987
ASV_10142	92.484	306	2611340	OR251919	283.00104
ASV_10143	94.91	334	741090	GQ144681	316.9994
ASV_10144	95.77	331	629761	FJ824127	316.9987
ASV_10145	94.242	330	1486463, 2611280, 2748608	HG970975, LC603171, LC603170, LC599498	310.9986
ASV_10146	96.308	325	2058121	PQ146498	313.001
ASV_10147	98.193	332	151027	KY979984	326.00076
ASV_10148	98.48	329	1798950	KY980223, KY980179	323.9992
ASV_10149	93.114	334	629751	FJ824122	311.00076
ASV_1015	97.59	332	151027	KY979984	323.9988
ASV_10150	93.051	331	91992	AF167154	307.99881
ASV_10151	99.676	309	247638	AY386338	307.99884
ASV_10153	97.778	315	1010434, 1010425	JF488779, JF488772	308.0007
ASV_10154	99.091	330	88552	PP905698	327.0003
ASV_10155	93.865	326	311390	AY881632	305.9999
ASV_10156	97.256	328	1641413	OR921549, OR921546, KR139784	318.99968
ASV_10157	97.583	331	412152, 1194445, 1169886, 637539, 136085	OM969820, JQ928405, JQ692310, FJ844431, FJ844430, EF065718, AF286023	322.99973
ASV_10158	98.671	301	33640, 243198, 59810	NC_024080, JN207219, FJ002233, FJ002186	296.99971
ASV_10159	96.96	329	2898045	OL630092	318.9984
ASV_1016	99.091	330	38822	L37204	327.0003
ASV_10160	93.884	327	2058121	OQ702874, OQ702870	307.00068
ASV_10161	94.848	330	2082235	OK147653	312.9984
ASV_10162	96.562	320	1176373, 1169004, 457380	JQ408163, JN831797, JN831796, EU024990	308.9984
ASV_10163	95.152	330	278112	AB178865	314.0016
ASV_10164	95.152	330	2925399, 172824	OM966641, AY050182	314.0016
ASV_10165	99.697	330	426078;426079;426080;426081;426082, 299778	AM492514, AM408318	329.0001
ASV_10166	97.281	331	151027	AF290540	322.00011
ASV_10167	98.799	333	62307, 76796, 62300, 66222	HE866926, HE866897, HE866896, HE866932	329.00067
ASV_10168	92	325	1003325	HM140400	299
ASV_10169	96.697	333	629762	FJ824128	322.00101
ASV_1017	94.495	327	118079	JX660992, AF163147	308.99865
ASV_10170	98.182	330	1764619, 1764617, 1764615	KT861023, KT861022, KT861009	324.0006
ASV_10171	93.293	328	3061869	PP905717	306.00104
ASV_10172	94.529	329	2316437, 2782525	MZ923472, MZ923433, MW186929	311.00041
ASV_10173	97.885	331	627966	FJ799794	323.99935
ASV_10174	99.392	329	1928008, 29655	OM925736, OM925735, OM925674, OM925575, AC256215, JQ041649, JQ041647, MT937135, HQ445940	326.99968
ASV_10175	95.468	331	151027	AF290540	315.99908
ASV_10176	98.176	329	2014776, 1881105	KY320392, KT943638	322.99904
ASV_10177	97.554	327	447962, 447950	MT730721, EF443138, NG_061059, NG_062378, EF443134	319.00158
ASV_10178	93.313	329	109764, 109953, 1485256, 301696, 109952, 79277, 2704025, 2704024	AH009067, KJ668077, KJ668076, KJ668073, KJ668063, KJ668060, KJ668059, KJ668047, AF164334, AB016019, LC431094, LC431093, LC431092, LC431091, LC431090, LC431089, LC431088, LC431087, NG_070695, NG_070694	306.99977
ASV_10179	90.964	332	2588357	OK381878	302.00048
ASV_1018	97.289	332	1010426	JF488773	322.99948
ASV_10180	91.018	334	629761	FJ824127	304.00012
ASV_10181	99.023	307	2546201, 1653259;1653274, 1653245, 198009, 198006, 198005	OQ306544, KP770084, KP770066, CP081940, AY102016, AY102013, AY102012	304.00061
ASV_10182	89.053	338	2037922	LC322144	300.99914
ASV_10183	98.193	332	151027	KY979984	326.00076
ASV_10184	96.049	329	1918384	OR921502, OR921501	316.00121
ASV_10185	100	337	941209, 324081, 3069627, 1450263, 6759	OR448281, OR448254, OR448185, KF682883, DQ079757, DQ079744	337
ASV_10186	97.305	334	629764	FJ824130	324.9987
ASV_10187	96.951	328	1641413	OR921549, OR921546, KR139784	317.99928
ASV_10188	99.691	324	323299	AY920752	322.99884
ASV_10189	95.455	330	1453980	KF791347	315.0015
ASV_1019	100	330	1157699	MG202005, JN934891	330
ASV_10190	97.568	329	188541	ON678242, ON678241, ON678240, ON678239, ON678238, ON678237, ON678236, HQ912614, EU090011, AY485477	320.99872
ASV_10191	99.696	329	1982032	KY980042	327.99984
ASV_10192	95.482	332	361426	DQ303923, DQ303922	317.00024
ASV_10193	99.088	329	3110968, 2081635, 2081638, 2735798, 463289, 2137954	PP061416, MG255428, MG255422, MT465326, EF581380, EF058237	325.99952
ASV_10194	99.077	325	524897	EU503537, EU503536	322.00025
ASV_10195	87.879	330	66473	JF791029	290.0007
ASV_10196	98.769	325	524895	EU503534	320.99925
ASV_10197	99.029	309	2547392, 930805, 2024834, 421690	MG905440, CP019450, MZ263106, MZ263090, MZ262921, NR_175472, MT759894, MT758096, NR_113277, EF207107	305.99961
ASV_10198	98.485	330	88552	MK368345	325.0005
ASV_10199	90.303	330	88552	MK368334, MK368202	297.9999
ASV_102	98.769	325	1607872	KJ609050	320.99925
ASV_1020	97.879	330	89963, 342588	KY980409, KY980406, OQ680141	323.0007
ASV_10200	94.833	329	2651332, 1550895, 2502171	MN524588, MH393884, MK385610, MF289778, KF951419	312.00057
ASV_10201	97.568	329	1798950	KY980223, KY980179	320.99872
ASV_10202	89.15	341	37360, 2861137	KX430465, KX430464, KX430462, KX430461, KX430460, KX430459, KX430458, KX430457, CP145415, CP145413, PP174307, KX011135, KX011115	304.0015
ASV_10203	86.89	328	3068911	OR427351	284.9992
ASV_10204	98.193	332	151027	KY979984	326.00076
ASV_10205	93.694	333	88552	MK368347, MK368339, MK368330	312.00102
ASV_10206	91.892	333	66473	JF791029	306.00036
ASV_10208	94.099	322	2049438	MG009200	302.99878
ASV_10209	97.281	331	230410	KY980416, KY980367	322.00011
ASV_1021	97.872	329	1196157	JQ247701	321.99888
ASV_10210	99.691	324	1859836;1859880, 1859795;1859893, 1859765;1859767, 1859738;1859749;1859797	KX070159, KX070118, KX070088, KX070061	322.99884
ASV_10211	95.268	317	1239448	JX661034	301.99956
ASV_10212	77.524	307	3153607	PP819648	237.99868
ASV_10213	94.801	327	195967	KY980091	309.99927
ASV_10214	94.545	330	2925399, 172824	OM966641, AY050182	311.9985
ASV_10215	94.864	331	1804151	KU728177, KU728176, KU728175, KU728174	313.99984
ASV_10216	97.674	301	1905723, 596236, 482556	OP485687, OP485686, OP750437, OP750436, OP750432, OP750431, OP622377, FJ160591, DQ388460	293.99874
ASV_10217	93.976	332	1982022	KY980258	312.00032
ASV_10218	77.67	309	2577016, 1034612	MK912143, MK912142, MK696129, JN903989, FR865617	240.0003
ASV_10219	91.111	315	1500003, 459501	MN203631, KT270356, KJ563218, MT730831, EF565163	286.99965
ASV_1022	94.545	330	3068901	OR427350	311.9985
ASV_10220	91.185	329	1314681, 529821	OM966635, EU542598	299.99865
ASV_10221	98.494	332	1167876	KY980054, KY980014	327.00008
ASV_10222	94.012	334	2109573	LC375250	314.00008
ASV_10223	92.547	322	88552	MK368328	298.00134
ASV_10224	99.692	325	2943812, 283781	ON529244, ON529243, ON529242, AY577890	323.999
ASV_10225	98.726	314	160623, 1918384	KY980180, OR921489, OR921487, OR921485, OR921484	309.99964
ASV_10226	98.176	329	1679438, 547557	KY980245, FM180528	322.99904
ASV_10227	85.928	334	119757	AF310901	286.99952
ASV_10228	98.471	327	1010500	JF488819	322.00017
ASV_10229	93.598	328	1043734	HM536153	307.00144
ASV_1023	99.696	329	89963	MH071708	327.99984
ASV_10230	99.693	326	1569383, 2738277	KM998763, KM998761, KM998760, LC545889, LC545888, LC545887	324.99918
ASV_10231	96.951	328	672125, 370103	FJ821481, DQ367048	317.99928
ASV_10232	92.131	305	469473	EF657885	280.99955
ASV_10233	98.784	329	1982023	KY980263	324.99936
ASV_10234	94.801	327	1010461, 1010454	JF488804, JF488770	309.99927
ASV_10235	90.332	331	2588357	OK381876	298.99892
ASV_10236	97.256	328	1816782, 1524187, 1524186, 627963;1816783, 549348, 549345;1516112, 549349, 549347, 549346, 549343, 549342, 368449, 215587, 3030862	KT901794, AB973544, AB973543, FJ799799, EU851173, EU851172, EU851171, EU851170, EU851169, EU851168, EU851167, DQ367045, AJ519935, L27634	318.99968
ASV_10237	96.341	328	1524183	AB973540	315.99848
ASV_10238	87.5	328	526559	KC753500, EU515792	287
ASV_10239	99.697	330	626261	FJ196130	329.0001
ASV_1024	99.692	325	1955568	KX431474	323.999
ASV_10240	92.683	328	3061869	PP905717	304.00024
ASV_10241	97.273	330	88552	MK368167	321.0009
ASV_10242	92.492	333	2555684, 420782, 2107305, 49240, 2082235, 216921	LC466960, MK795713, MK795708, MG972267, MG972266, MG972265, MG972264, MG972263, PQ533044, OK147653, KF925340, AJ535167	307.99836
ASV_10243	87.842	329	1764082, 237470, 2945, 1226012, 1905723, 1918384, 1764932, 39450, 72677	MK547137, MK547136, MK547135, MK547134, MK547133, MK547132, MK547129, MK547128, MK547127, MK547126, MK547125, MK547124, MK547123, MK405477, MK995624, MK541788, MK541787, MK541786, MK541781, OP522125, OP522124, OP522121, OP522120, OP522119, OR921502, OR921501, OR397931, OR381783, KP711353, KP711350, KP711347, KP711344, KP711341, KT860948, MW979841, MW979840, MW979839, MW979837, MW979836, MW979834, MW979833, MW979832, MW979831, MW979830, MW979829, MW979828, MW979827, MW979826, MW979825, MW979824, MW979823, MW979822, MW784603, OL982605, OL982546, OL966939, OL966938, OL966937, OL966935, JQ390504, MT521867, JN717145, EU780638, EU287485, EF492511, EF492510, AY585526, AY803739, DQ004735, AJ415519	289.00018
ASV_10244	99.091	330	1923967, 420281, 216777	KX253955, EF192984, AY485525	327.0003
ASV_10245	97.576	330	1157700	JN934892	322.0008
ASV_10246	99.694	327	2903, 38817, 1856765, 1856766, 280463, 2903;38817;1663125, 38817;284784;284790, 2903;38817, 44459	MN824007, MN121040, MK542696, MG022751, KX229688, LC189150, KX056536, KX056535, KX056534, KX056533, KX056532, KT861255, XM_005783537, XM_005783044, XM_005776331, XM_005773227, XM_005768650, HQ877901, AB183665, AB058360, AJ246276, U40924	325.99938
ASV_10247	90.578	329	2012228	MW898451	298.00162
ASV_10248	98	300	1679438, 547557	KY980245, FM180528	294
ASV_10249	95.413	327	2654861, 447962, 447950	MT730893, MT730721, EF443138, NG_061059, NG_062378, EF443134	312.00051
ASV_1025	87.692	325	1297756	FJ870070	284.999
ASV_10250	96.96	329	135477	AB284575	318.9984
ASV_10251	90.096	313	254430	AY363958	282.00048
ASV_10252	90.606	330	2925399, 172824	OM966641, AY050182	298.9998
ASV_10253	97.273	330	1918384	OR921502, OR921501	321.0009
ASV_10254	98.78	328	990950, 311201	JN996709, EF426294	323.9984
ASV_10255	95.181	332	1190596, 278112	JQ031283, AB178865	316.00092
ASV_10256	95.745	329	407301	KY980186	315.00105
ASV_10257	92.447	331	400756	GU999528	305.99957
ASV_10258	99.69	323	3148851	PP781496	321.9987
ASV_10259	99.088	329	2010215, 2081638, 262427, 160602, 2684370, 344733, 407301, 262428, 463289, 66473	KY996787, MG255422, OQ680142, ON015053, ON358395, LC515992, LC515991, MN821569, JQ639763, JF791096, HM067007, HM067005, EF581380, AF022201	325.99952
ASV_1026	99.691	324	296587, 38833, 1907928, 1570327	MT117943, KY980374, KY980365, KY980282, LC806249, LC806245, LC806243, LC806242, KX523155, KU244669, KU244663, KU244659, KU244653, KU244645, KU244641, KU244638, KU244632, KU612123, KT860888, KT860879, KP899802, OQ436457, OQ428650, KR089059, KJ010081, OM521954, KF501035, KF501030, KF501024, KF501019, JF791090, HM191693, CP001575, AB183589, AY955010, AY955011, AY954998, AY955008, AY955007, AY955006, AY955002, AY955001, AY954997, AY954993	322.99884
ASV_10260	93.458	321	515470, 216620	AB430611, AJ535140	300.00018
ASV_10261	96.073	331	629762	FJ824128	318.00163
ASV_10262	96.203	316	1852269	KR868712	304.00148
ASV_10263	96.677	331	629762	FJ824128	320.00087
ASV_10264	97.289	332	3229849	PP951431	322.99948
ASV_10265	92.901	324	136184, 148993, 184761, 2056978, 119372, 746506	MG661071, MG661070, MG661069, MG661068, MG661067, MG661066, MG661065, MG661063, MG661061, MG661060, MG661059, MG661058, MG661057, MG661053, MG661052, MG660873, MG660872, MG660871, JX995322, JX995319, MN784616, GU594644	300.99924
ASV_10266	99.39	328	1246791	MW872733, MT355148, JQ340336, JQ340335	325.9992
ASV_10267	99.051	316	3153666	PP819651	313.00116
ASV_10269	94.562	331	1276142, 629760, 240571	KF577831, KC243117, FJ824131, AY268040	313.00022
ASV_1027	99.696	329	261845	OR921539	327.99984
ASV_10270	98.339	301	41457, 386076, 267982, 216763, 216823, 267983, 371681, 267566, 2843, 371682, 267567, 243198, 222884	MK372941, OR666656, LC814789, LC814786, LC814783, LC814780, LC814777, LC814774, LC814771, LC814768, LC814765, LC814762, LC814759, NC_058705, NC_058704, MW679509, NC_058703, NC_058702, NC_058701, JN207204, FJ002160, AM690833, X82155, X82154	296.00039
ASV_10271	96.657	329	339963	LT993783, AB231617	318.00153
ASV_10272	98.784	329	2692273	LC516501	324.99936
ASV_10279	98.476	328	1641413	OR921549, OR921546, KR139784	323.00128
ASV_1028	99.696	329	1715256, 3028765	PP840288, PP840236, U59097	327.99984
ASV_10281	92.739	303	1321365	OP741068	280.99917
ASV_10282	77.676	327	13221, 424540	MN727061, MN727054, MG022758, MG022757, OQ799062, OR178773, KF728655, KF728654, KF696663	254.00052
ASV_10283	97.872	329	365608, 2927236	MH732691, MH732689, ON015056, LC054930, DQ837534	321.99888
ASV_1029	95.166	331	91992	AF167154	314.99946
ASV_10291	95.468	331	232288	KY980049, AJ564773	315.99908
ASV_10292	93.617	329	1873229, 1932610, 1611985, 2011916	MH174556, OQ702919, KJ952219, OM214775, OM214740, OM214708, OM214702, OM214647	307.99993
ASV_10293	94.225	329	95528	AJ420689	310.00025
ASV_10294	95.181	332	676789	MT117945, FJ997213, FJ997212	316.00092
ASV_10295	97.674	301	265616, 216777	FJ002241, FJ002173	293.99874
ASV_10296	98.457	324	1918384	OR921468	319.00068
ASV_10297	99.094	331	173654, 333350, 637540, 637542, 410623, 637541, 637544, 637543	KY853757, MW136947, MW136946, FJ844429, FJ844428, FJ844427, FJ844426, FJ844425, FJ844424, FJ844423, FJ844422, FJ844421, FJ844420, FJ844419, FJ844418, FJ844417, FJ844416, FJ844415, FJ844414, FJ844413, FJ844412	328.00114
ASV_10298	92.88	309	1321365	OP741068	286.9992
ASV_10299	96.678	301	1469152	KF952434	291.00078
ASV_103	100	328	2516999, 2023888, 2038130, 1651134, 127145, 2820187, 1567047, 27923, 140487, 2813891, 2813890, 140455, 2813929, 2813928, 2813927, 1566675	PQ361126, PQ357478, MF599331, MF599319, PP905547, PP905539, PP905534, PP905531, PP905520, XR_010160386, KJ754158, MW647070, MW647059, MW647058, MW647053, MW647052, MW647051, MW647050, MW647049, MW647048, MW647047, MW647046, MW647030, MW647029, MW647028, MW647027, MW647026, MW647017, MW647012, KF202290, AF293700, AF293687, L10826	328
ASV_1030	96.657	329	407301	KY980186	318.00153
ASV_10301	99.077	325	2652393, 524898	MN537438, EU503538	322.00025
ASV_10302	91.03	301	243198	JN207212	274.0003
ASV_10303	95.152	330	91992	AF167154	314.0016
ASV_10304	100	326	2716588, 2716569, 2927974	MT166889, MT166880, MN941916, MN941915, MN941914	326
ASV_10305	93.958	331	663693, 627967, 627964, 627968	GQ354272, FJ799798, FJ799796, FJ799795	311.00098
ASV_10307	89.222	334	2037922	LC322144	298.00148
ASV_1031	93.939	330	39450, 66473	MW784603, JF791053, JF791029	309.9987
ASV_10312	98.007	301	41457, 1003089, 267982, 216763, 216823, 267983, 371681, 267566, 2843, 371682, 267567, 243198, 33640, 59810	MK372941, NC_037995, LC814789, LC814786, LC814783, LC814780, LC814777, LC814774, LC814771, LC814768, LC814765, LC814762, LC814759, NC_058705, NC_058704, MW679509, NC_058703, NC_058702, NC_058701, JN207204, FJ002160, X82155, X82154, NC_024080, JN207219, FJ002233, FJ002186	295.00107
ASV_10313	95.152	330	400756	GU999528	314.0016
ASV_10314	94.562	331	1453980	KF791347	313.00022
ASV_10315	96.667	330	629753	FJ824125	319.0011
ASV_10316	92.424	330	173091, 111667	GU569636, EU927325	304.9992
ASV_10319	98.182	330	1366867	MG972320, MG972319, MG972317, MG972316	324.0006
ASV_10322	98.176	329	732115, 285985, 433501	FN669511, FN669510, AM503930	322.99904
ASV_10323	94.495	327	2909459	OP445725	308.99865
ASV_10324	98.171	328	418940, 127562, 418943	KT861320, KF422620, AM490984, AM490983, AM490985	322.00088
ASV_10325	95.441	329	2037922	LC322144	314.00089
ASV_10326	95.468	331	2591690	AY443018	315.99908
ASV_1033	99.696	329	1918384, 2984886	OP604719, OP604718	327.99984
ASV_1034	89.735	302	693645	HQ890884, FJ842379	270.9997
ASV_10343	99.674	307	2546201, 1653259;1653274, 1653245, 198009, 198006, 198005	OQ306544, KP770084, KP770066, CP081940, AY102016, AY102013, AY102012	305.99918
ASV_1035	99.696	329	2219862	MF543365, MF543364, MF543363	327.99984
ASV_10350	96.375	331	151027	AF290540	319.00125
ASV_1036	96.012	326	1229649	JQ924058	312.99912
ASV_10360	98.16	326	1955561, 1276173, 1274397, 1276030, 1276066, 1273161, 1276039, 1155554, 429460, 37642, 293210, 37475	KX100595, OR361745, JQ967329, JQ967327, JQ967326, JQ967325, JQ967324, JQ967323, JN934668, EF432523, EF432519, EF432518, AY651096, AF174376, AF109324, AF109323	320.0016
ASV_10369	98.471	327	38836	AB017127, AJ010407	322.00017
ASV_10372	89.72	321	2575364, 88552, 1136767	PP905707, PP905696, JN998206, JN998204	288.0012
ASV_10373	98.16	326	1010456	JF488799	320.0016
ASV_10374	98.007	301	2684113	CP076039	295.00107
ASV_10375	95.468	331	2589715, 1524185, 1234160, 663693, 627967, 627964, 627968, 420540	MK234637, AB973542, JX481078, GQ354272, FJ799798, FJ799796, FJ799795, AB290575	315.99908
ASV_10376	95.509	334	361426	DQ303923, DQ303922	319.00006
ASV_10377	98.007	301	41457, 267982, 216763, 216823, 267983, 371681, 267566, 2843, 371682, 267567, 243198, 33640, 59810	MK372941, LC814789, LC814786, LC814783, LC814780, LC814777, LC814774, LC814771, LC814768, LC814765, LC814762, LC814759, NC_058705, NC_058704, MW679509, NC_058703, NC_058702, NC_058701, JN207204, FJ002160, X82155, X82154, NC_024080, JN207219, FJ002233, FJ002186	295.00107
ASV_10378	99.675	308	1357343	LC847698	306.999
ASV_10379	89.72	321	2575364, 88552, 1136767	PP905707, PP905696, JN998206, JN998204	288.0012
ASV_1038	97.256	328	307245	LC647565	318.99968
ASV_10380	89.404	302	693645	HQ890884, FJ842379	270.00008
ASV_10381	96.677	331	2094253, 2094254, 35677, 464228	MF927476, MF927475, LC189147, KT861111	320.00087
ASV_10382	87.842	329	72677, 2496629, 1905723, 1965466, 237471, 237471;1905723, 66473	MK547145, MK547144, MK547143, MK547142, MK547141, MK547140, MK547139, MK547138, MK295685, OP522155, OP522153, OP522152, OP522150, OP522149, OP522148, OP522146, OP522145, OP522144, OP522142, OP522141, OP522140, OP522139, OP522132, OP522130, OP522129, OP522128, OP522127, KY421374, KY426837, KY426836, OP750441, OP750439, OP622375, MW979863, MW979860, MW979859, MW979856, MW979853, MW979852, MW979851, MW979850, MW979848, MW979847, MW979846, MW979844, MW979843, MW979842, HF565183, HF565182, HF565181, JQ616822, JF791029, FJ842096, EU287487, Y16232	289.00018
ASV_10383	97.231	325	118080, 1239450	LC189148, JX660990	316.00075
ASV_10384	86.585	328	112098, 4770, 101203, 1862976, 637500	MK850083, MK850082, MK850081, MK850080, MK850079, MK850078, MK850077, KY288983, FJ794908, AB086899, AB086898	283.9988
