x	MP_E25_2B_DY20	MP_E26_1B_DY20	MP_E26_2B_DY20	MP_E27_1B_DY20	MP_E27_2B_DY20	MP_E28_1B_DY20	MP_E28_2B_DY20	MP_E29_1B_DY20	MP_E29_2B_DY20	MP_E30_1B_DY20	MP_E30_2B_DY20	MP_E31_1B_DY20	MP_E31_2B_DY20	MP_E32_1B_DY20	MP_E32_2B_DY20	MP_E33_1B_DY20	MP_E33_2B_DY20	MP_E34_1B_DY20	MP_E34_2B_DY20	MP_E35_1B_DY20	MP_E35_2B_DY20	MP_E36_1B_DY20	MP_E36_2B_DY20	MP_E37_1B_DY20	MP_E37_2B_DY20	MP_E38_1B_DY20	MP_E38_2B_DY20	MP_E39_1B_DY20	MP_E39_2B_DY20	MP_E40_1B_DY20	MP_E40_2B_DY20	MP_E42_1B_DY20	MP_E42_2B_DY20	MP_E43_1B_DY20	MP_E43_2B_DY20	MP_E44_DY20	MP_E45_1B_DY20	MP_E45_2B_DY20	MP_E46_1B_DY20	MP_E46_2B_DY20	MP_E47_1B_DY20	MP_E47_2B_DY20	MP_E48_1B_DY20	MP_E48_2B_DY20	MP_E49_1B_DY20	MP_E49_2B_DY20	MP_E50_1B_DY20	MP_E50_2B_DY20	MP_E51_1B_DY20	MP_E51_2B_DY20	MP_E52_1B_DY20	MP_E52_2B_DY20	MP_E53_1B_DY20	MP_E53_2B_DY20	MP_E54_1B_DY20	MP_E54_2B_DY20	MP_E55_1B_DY20	MP_E55_2B_DY20	MP_E57_1B_DY20	MP_E57_2B_DY20	MP_E58_1B_DY20	MP_E58_2B_DY20	MP_E59_1B_DY20	MP_E59_2B_DY20	MP_E60_1B_DY20	MP_E60_2B_DY20	MP_E61_1B_DY20	MP_E61_2B_DY20	MP_E62_1B_DY20	MP_E62_2B_DY20	MP_E63_1B_DY20	MP_E63_2B_DY20	MP_E64_1B_DY20	MP_E64_2B_DY20	MP_E65_1B_DY20	MP_E65_2B_DY20	MP_E66_1B_DY20	MP_E66_2B_DY20	MP_E67_1B_DY20	MP_E67_2B_DY20	MP_E68_1B_DY20	MP_E68_2B_DY20	MP_E69_2B_DY20	MP_E70_1B_DY20	MP_E70_2B_DY20	MP_E71_1B_DY20	MP_E71_2B_DY20	MP_E72_1B_DY20	MP_E72_2B_DY20	MP_E233_1B_NO20	MP_E233_2B_NO20	MP_E234_1B_NO20	MP_E234_2B_NO20	MP_E234_3B_NO20	MP_E235_1B_NO20	MP_E235_2B_NO20	MP_E235_3B_NO20	MP_E236_1B_NO20	MP_E236_2B_NO20	MP_E236_3B_NO20	MP_E237_1B_NO20	MP_E237_2B_NO20	MP_E238_1B_NO20	MP_E238_2B_NO20	MP_E239_1B_NO20	MP_E239_2B_NO20	MP_E240_1B_NO20	MP_E240_2B_NO20	MP_E241_1B_NO20	MP_E241_2B_NO20	MP_E242_1B_NO20	MP_E242_2B_NO20	MP_E243_1B_NO20	MP_E243_2B_NO20	MP_E244_1B_NO20	MP_E244_2B_NO20	MP_E245_1B_NO20	MP_E245_2B_NO20	MP_E246_1B_NO20	MP_E246_2B_NO20	MP_E247_1B_NO20	MP_E247_2B_NO20	MP_E248_1B_NO20	MP_E248_2B_NO20	MP_E249_1B_NO20	MP_E249_2B_NO20	MP_E250_1B_NO20	MP_E250_2B_NO20	MP_E251_1B_NO20	MP_E251_2B_NO20	MP_E252_1B_NO20	MP_E252_2B_NO20	MP_E253_NO20	MP_E254_NO20	MP_E255_1B_NO20	MP_E255_2B_NO20	MP_E256_1B_NO20	MP_E256_2B_NO20	MP_E257_1B_NO20	MP_E257_2B_NO20	MP_E258_1B_NO20	MP_E258_2B_NO20	MP_E259_1B_NO20	MP_E259_2B_NO20	MP_E260_1B_NO20	MP_E260_2B_NO20	MP_E261_1B_NO20	MP_E261_2B_NO20	MP_E262_1B_NO20	MP_E262_2B_NO20	MP_E263_2B_NO20	MP_E264_1B_NO20	MP_E264_2B_NO20	MP_E265_1B_NO20	MP_E265_2B_NO20	MP_E266_1B_NO20	MP_E266_2B_NO20	MP_E267_1B_NO20	MP_E267_2B_NO20	MP_E268_1B_NO20	MP_E268_2B_NO20	MP_E269_1B_NO20	MP_E269_2B_NO20	MP_E270_1B_NO20	MP_E270_2B_NO20	MP_E271_1B_NO20	MP_E271_2B_NO20	MP_E272_1B_NO20	MP_E272_2B_NO20	MP_E273_1B_NO20	MP_E273_2B_NO20	MP_E274_1B_NO20	MP_E274_2B_NO20	MP_E275_1B_NO20	MP_E275_2B_NO20	MP_E276_1B_NO20	MP_E276_2B_NO20	MP_E277_1B_NO20	MP_E277_2B_NO20	MP_E277_3B_NO20	MP_E278_2B_NO20	MP_E278_3B_NO20	MP_E279_1B_NO20	MP_E279_2B_NO20	MP_E280_1B_NO20	MP_E280_2B_NO20	MP_E280_3B_NO20	MP_E281_1B_NO20	MP_E281_2B_NO20	MP_E281_3B_NO20	MP_E282_1B_NO20	MP_E282_2B_NO20	MP_E282_3B_NO20	MP_E283_1B_NO20	MP_E283_2B_NO20	MP_E283_3B_NO20	MP_E284_1B_NO20	MP_E284_2B_NO20	MP_E284_3B_NO20	MP_E285_1B_NO20	MP_E285_2B_NO20	MP_E285_3B_NO20	MP_E286_1B_NO20	MP_E286_2B_NO20	MP_E286_3B_NO20	MP_E287_1B_NO20	MP_E287_2B_NO20	MP_E287_3B_NO20	MP_E288_1B_NO20	MP_E288_2B_NO20	MP_E289_1B_NO20	MP_E289_2B_NO20	MP_E289_3B_NO20	MP_E290_1B_NO20	MP_E290_2B_NO20	MP_E290_3B_NO20	MP_E291_1B_NO20	MP_E291_2B_NO20	MP_E291_3B_NO20	MP_E292_1B_NO20	MP_E292_2B_NO20	MP_E292_3B_NO20	MP_E293_1B_NO20	MP_E293_2B_NO20	MP_E293_3B_NO20	MP_E294_1B_NO20	MP_E294_2B_NO20	MP_E294_3B_NO20	MP_E295_1B_NO20	MP_E295_2B_NO20	MP_E295_3B_NO20	MP_E296_1B_NO20	MP_E296_2B_NO20	MP_E296_3B_NO20	MP_E297_1B_NO20	MP_E297_2B_NO20	MP_E297_3B_NO20	MP_E298_1B_NO20	MP_E298_2B_NO20	MP_E298_3B_NO20	MP_E299_1B_NO20	MP_E299_2B_NO20	MP_E299_3B_NO20	MP_E300_1B_NO20	MP_E300_2B_NO20	MP_E300_3B_NO20	MP_E611_1B_WCOA21	MP_E614_WCOA21	MP_E619_WCOA21	MP_E624_WCOA21	MP_E645_WCOA21	MP_E668_WCOA21	MP_E671_WCOA21	MP_E678_WCOA21	MP_E687_WCOA21	MP_E697_WCOA21	MP_E731_WCOA21	MP_E754_WCOA21	MP_E777_WCOA21	MP_E782_WCOA21	MP_E786_WCOA21	MP_E790_WCOA21	MP_E806_1B_WCOA21	MP_E815_WCOA21	MP_E820_WCOA21	MP_E828_WCOA21	MP_E834_WCOA21	MP_E882_1B_WCOA21	MP_E888_WCOA21	MP_E893_WCOA21	MP_E897_WCOA21	MP_E902_1B_WCOA21	MP_E969_1T_NA128	MP_E970_1T_NA128	MP_E971_1T_NA128	MP_E972_1T_NA128	MP_E973_1T_NA128	MP_E977_2T_NA128	MP_E978_2T_NA128	MP_E979_1T_NA128	MP_E980_1T_NA128	MP_E985_1T_NA128	MP_E991_1T_NA128	MP_E994_2T_NA128	MP_E995_1T_NA128	MP_E996_1T_NA128	MP_E1005_1T_NA128	MP_E1011_2T_NA128	MP_E1012_1T_NA128	MP_E1013_1T_NA128	MP_E1014_1T_NA128	MP_E1015_1T_NA128	MP_E1020_1T_NA128	MP_E1021_1T_NA128	MP_E1022_1T_NA128	MP_E1024_1T_NA128	MP_E1025_1T_NA128	MP_E1623_1B_Chaba22	MP_E1624_1B_Chaba22	MP_E1625_1B_Chaba22	MP_E1626_1B_Chaba22	MP_E1627_1B_Chaba22	MP_E1631_Chaba22	MP_E1632_Chaba22	MP_E1634_Chaba22	MP_E1635_Chaba22	MP_E1637_Chaba22	MP_E2084_SKQ23_12S	MP_E2090_SKQ23_12S	MP_E2097_SKQ23_12S	MP_E2138_1T_QiavacTest	MP_E2138_2T_QiavacTest	MP_E2139_1T_QiavacTest	MP_E2139_2T_QiavacTest	MP_E2139_3T_QiavacTest	MP_E2139_4T_QiavacTest	MP_E2140_Kotzebue23	MP_E2141_Kotzebue23	MP_E41_NC_DY20	MP_E56_NC_DY20	MP_E73_NC_DY20	MP_E232_NC_NO20	MP_E301_NC_NO20	MP_POSITIVE
ASV_10391	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	2	0	0	26	8	0	0	7	26	7	16	0	0	0	0	9	3	37	0	0	0	0	0	69	0	0	75	25	0	0	98	12	0	0	81	64	4	0	0	37	0	0	13	2	0	0	5	198	0	0	83	32	0	0	222	21	0	0	58	25	0	0	281	17	0	234	12	0	0	3	2	49	152	0	0	34	13	0	8	0	0	0	113	0	0	0	10	20	0	0	14	52	0	0	6	170	0	0	23	16	0	0	63	0	0	0	121	3	0	0	0	0	0	0	12	0	0	5	7	0	9	67	0	0	13	147	0	0	14	48	0	0	3	0	0	57	194	0	0	0	1	3	0	0	0	0	0	0	1	0	1	41	146	0	0	43	60	0	0	101	20	8	0	0	73	52	0	0	0	11	7	19	0	0	0	78	0	0	0	0	0	1	0	14	0	0	0	28	10	63	26	32	0	22	0	0	39	0	4	1	59	0	36	15	128	0	54	0	8	1	25	0	37	382	3	8	6	0	0	7	21	0	205	150	280	49	1	0	6	15	0	5	0	0	0	0	0	41	0	0	0	0	0	0	20	663	109	4	6	0	0	0	0	0	0	0	158	0	31	18	0	0	0	0	0	0	0	4	17	16	0	5	0	9	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
ASV_10396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	8	0	0	0	9	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	6	0	0	0	0	137	0	0	0	0	0	0	0	0	14	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	31	0	0	4	0	0	0	0	0	0	0	0	73	0	0	21	8	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	6	6	11	42	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	5	0	0	0	54	0	0	7	0	0	0	0	0	5	0	0	0	0	5	0	3	0	0	0	0	0	29	0	0	0	0	3	0	10	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10406	0	17	0	0	0	16	0	627	136	0	0	0	1	0	1	0	0	1	0	10	0	0	0	0	0	0	0	3	3	0	0	19	9	0	9	48	2	8	0	18	5	0	6	47	63	6	86	32	6	57	7	18	52	244	41	227	44	368	306	154	5	1	761	120	0	7	18	229	0	0	11	249	0	0	29	290	71	3	95	266	0	0	468	0	0	256	63	0	0	0	3	388	797	2465	1	0	2	116	958	1074	0	398	98	913	12	10	770	1806	5	0	782	341	1	0	14	428	0	0	577	688	0	4	170	1072	3	2	601	715	2	0	278	932	4	240	13	0	165	25	48	121	177	280	35	24	364	266	25	148	151	137	244	81	454	182	22	76	114	121	138	165	138	147	310	0	79	165	53	24	12	16	4	115	83	0	0	73	4	0	19	16	35	86	19	0	0	241	82	0	3	4	26	16	421	21	0	12	58	35	96	0	3	100	16	84	0	7	182	39	83	446	69	250	46	90	75	23	2	817	23	250	487	22	3	5	60	11	0	7	1	65	17	29	79	34	154	73	427	17	393	335	22	136	9	116	22	375	0	0	20	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	16	0	0	24	0	5	0	0	0	0	0	73	0	6	0	0	0	0	2	4	287	2	11	0	0	0	0	0	0	0	0	0	30	4	0	0	4	0	14	0	0	106	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_10413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10420	0	7	9	0	0	0	0	0	0	2	182	0	0	3	208	0	0	342	33	0	0	28	37	0	0	15	36	0	0	0	0	0	0	31	15	120	0	0	0	0	44	63	0	0	89	116	8	0	321	64	0	0	10	6	0	0	0	0	0	0	35	258	0	0	20	125	0	0	0	0	0	0	131	199	0	0	0	87	0	0	2	234	0	45	0	0	0	26	14	177	42	0	0	0	73	0	22	0	0	0	401	0	229	0	201	24	0	0	397	167	0	0	534	237	0	0	0	232	0	0	44	82	0	0	188	30	0	0	3	2	0	0	9	0	113	133	64	319	122	458	0	80	214	78	0	0	135	176	0	0	31	0	0	0	128	2	0	0	0	0	0	12	0	0	0	19	39	0	123	0	1	16	0	0	43	0	0	16	3	9	0	0	16	31	0	0	0	110	27	137	0	0	0	8	263	56	0	0	0	0	27	26	0	0	0	38	14	136	33	34	69	0	64	0	0	4	0	0	58	14	35	0	362	79	7	49	7	9	13	0	455	117	0	2	100	1	2	1	0	0	7	0	498	98	311	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	0	0	0	14	0	0	0	0	0	0	0	0	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0
ASV_10425	708	0	0	0	0	2178	1478	4346	5898	0	0	2163	1892	0	0	549	935	0	0	170	297	0	12	178	252	3	15	0	0	31	0	857	2500	262	100	117	12	43	17	71	3	36	1468	6417	365	136	115	469	25	78	6297	6256	304	753	5191	6155	3585	4633	771	336	66	71	18	0	1	0	0	10	2	34	78	36	3	4	852	212	27	98	1545	789	0	16	18	160	47	4101	13540	699	240	43	0	0	0	206	0	0	10	0	0	0	0	0	3	0	0	30	0	0	120	0	0	0	9	10	4	0	9	0	10	1720	3	0	361	1196	0	0	150	257	10	191	0	6	3	11	31	0	597	0	683	1109	1540	2034	343	292	358	1364	34	6	132	155	671	2688	2039	552	410	1311	854	73	179	304	82	365	313	976	348	1535	1175	1551	890	1286	2246	2316	2528	263	736	7007	12161	1	0	5	2699	2617	135	97	1332	7061	5803	236	580	498	13884	7537	11250	307	752	1220	5767	5340	207	174	54	141	264	494	770	1627	941	1161	836	1418	0	9	0	8	0	0	3658	1953	3132	1464	2794	1515	18	53	528	280	466	405	4363	2810	4702	5440	3137	2741	215	601	67	358	2843	1773	1086	1464	608	1334	1785	2372	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	13	0	286	0	39	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_10432	40	0	0	0	0	38	347	112	647	0	0	30	532	0	0	7	24	0	0	41	223	0	1	13	118	0	0	16	0	0	0	190	167	0	0	0	2	33	0	55	17	9	58	11	9	51	51	13	1	4	176	103	26	113	802	261	300	187	835	805	1	0	107	338	0	4	416	259	0	0	229	197	0	0	2045	2269	999	1171	1155	920	2	6	1886	4	0	0	18	71	94	0	0	159	37	920	0	0	0	193	0	140	0	85	0	5	0	9	37	24	0	0	89	6	1	0	614	159	14	0	228	1193	0	2	1531	1650	47	0	412	797	344	2	121	255	13	107	70	75	606	1292	0	2	2	0	0	0	0	0	0	0	0	0	0	0	5	6	0	10	3	0	1	0	0	12	88	45	20	56	11	4	2	23	37	29	0	41	0	171	48	0	0	116	67	21	6	1	0	28	2	0	0	2	540	121	654	5	81	0	498	159	0	0	10	0	32	10	25	15	18	64	275	372	0	1	0	0	0	0	291	49	464	961	116	167	266	267	58	235	95	386	547	792	297	292	81	984	0	0	0	2	165	119	469	1150	284	767	511	885	0	0	0	0	0	0	0	0	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2363	0	0	4610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2547	2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2200	0	0	1906	0	0	0	0	4414	0	0	0	0	0	0	1	0	0	0	0	0	0	741	28914	0	2544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3759	0	0	0	0	0	0	3883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2441	0	0	0	0	0	0	0	0	0	1292	825	0	0	0	0	0	0
ASV_10440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	36	0	0	0	38	0	46	4	8	0	0	0	0	0	0	0	0	13	85	188	0	9	1	0	0	13	13	313	0	0	0	0	0	4	0	178	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	3	13	0	0	0	9	0	0	0	15	0	0	17	37	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	427	669	29	0	565	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	54	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0
ASV_1045	2	29	778	0	794	0	0	0	0	905	569	0	0	2560	4699	0	1	2638	3027	0	1	317	1252	1	0	1641	1460	1525	914	449	441	40	66	523	769	2373	0	5	0	55	1047	1305	5	80	2979	3514	6632	3204	4494	2415	35	56	1944	656	23	3	176	70	0	0	3624	3795	0	0	852	420	0	0	923	1391	0	21	2179	1376	124	67	498	667	0	0	919	1524	103	4272	2212	224	21	1666	875	4234	5016	0	0	0	3415	1842	4605	0	0	0	4851	0	6526	0	4497	4270	1	0	4500	5169	0	0	7491	8704	0	25	4618	8245	0	499	6905	7499	26	53	9816	14427	970	177	3881	2618	268	0	2907	0	1946	3793	813	875	2133	2666	1535	614	3830	3653	0	35	3883	3163	398	434	6400	484	452	2345	3422	217	898	589	567	678	633	1522	909	74	385	773	1114	1384	707	826	397	593	1470	7577	12837	0	0	13541	23162	30080	0	0	6862	2393	0	0	0	2698	1657	2367	192	0	0	1060	2421	1460	0	0	0	1666	3108	2200	625	466	76	1321	586	1067	1144	1716	1437	1003	834	2707	2028	182	954	1006	1589	1195	647	997	919	1443	742	894	737	672	876	571	1242	942	600	1067	1298	2771	2679	1435	932	132	174	1574	1083	1639	896	1409	346	169	1789	525	0	147	140	1121	0	0	68	6	4321	749	63	274	944	845	15	117	62	0	360	110	734	0	26	15	375	0	7	1	272	0	871	1	0	174	939	130	236	4	0	9	10	43	21	254	0	0	154	134	0	0	11	188	42	122	2	310	3	179	442	279	58	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_10454	0	0	0	0	5	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	19	0	0	0	26	2	22	35	0	0	0	0	0	0	8	0	1	0	0	0	26	0	0	2	38	0	0	0	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	30	2	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	14	0	0	0	4	47	0	0	0	0	0	0	19	0	0	2	0	0	0	2	10	3	8	1	165	7	6	11	16	44	19	10	161	13	1	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	31	3	0	23	0	0	29	0	21	15	0	7	0	28	0	0	0	5	6	0	0	0	0	0	0	4	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	69	0	0	0	41	198	41	0	23	41	437	0	201	90	34	337	6	337	185	673	178	38	30	35	3	794	1088	656	460	62	9	280	342	31	0	55	30	160	3	26	67	376	303	58	65	39	4	34	31	10	0	65	1	0	349	263	0	261	113	4	126	3	20	1	0	0	0	0	0	0	0	0	0	469	122	0	0	0	0	0	0
ASV_10458	0	7	362	983	25843	272	4	1	495	578	253	8	16	4444	7173	0	6	13884	12109	109	47	3318	5086	854	1477	0	3	231	481	70	288	0	1	504	343	774	22	39	62	14	3400	3004	1095	993	3150	2969	5	54	561	132	0	0	347	306	3	14	33	6	920	1144	93	97	1199	560	2550	1101	597	465	1515	641	1003	439	3707	4320	213	158	252	167	471	526	1814	1835	225	149	1	1	26	16	230	4546	5148	18117	18973	233	599	10025	11072	5064	4504	11565	4061	13218	2871	15010	4076	6701	24758	17861	8152	9459	6088	5330	686	870	1114	714	1290	1099	84	126	879	782	1027	310	1975	1277	1786	804	12990	11401	4366	3360	1817	2868	334	1233	847	1315	9	21	0	1	1	21	0	5	77	85	1	2	519	0	12	75	29	0	0	789	1027	608	1083	759	795	514	591	949	378	419	115	78	303	180	105	4501	5070	9	0	135	419	314	5	135	1648	2889	0	2	0	5073	3272	3420	20	0	63	5587	12551	7096	16	0	0	358	58	259	27	34	35	3	17	27	8	47	0	5	57	0	27	3	1210	2354	2168	1305	868	1288	267	294	409	31	615	477	1561	3459	4323	3746	1659	2203	52	8	216	166	207	21	0	255	31	29	35	72	0	0	99	1	0	0	0	2	428	0	1	25	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	6	73	1	2	0	0	0	0	26	5	0	0	0	8	0	0	1	0	0	0	0	0	0	0	242	4	27	0	458	199	27	527	26	141	18	0	0	1	0	15	4	0	1	0	0	1	0	0	0	0	0
ASV_1046	91	0	0	0	7	11	3	4	0	0	0	14	64	0	0	0	0	17	0	271	71	0	0	0	71	0	0	0	4	0	0	8	20	7	2	0	0	35	0	1	0	0	10	1	0	0	0	0	0	0	0	9	0	28	3	0	0	4	13	175	0	0	71	32	0	0	134	59	0	0	33	30	0	0	6	0	0	0	10	32	0	0	53	0	0	0	8	1	0	0	0	100	68	1	0	0	4	99	0	9	0	76	0	140	0	0	21	20	0	0	38	0	0	0	10	0	0	0	35	0	0	0	43	0	0	0	0	9	0	0	52	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	2	0	0	0	0	2	0	4	0	77	6	0	0	0	25	0	24	0	0	0	44	7	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	87	0	7	57	6	1	0	1	0	0	5	0	11	10	0	33	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
